target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3333.16	0	0
FBtr0307554	3546	3342.16	8.92942	0.0881137
FBtr0307555	4528	4324.16	35.0706	0.267478
FBtr0070002	1226	1022.16	0	0
FBtr0070003	1164	960.158	0.5	0.0171741
FBtr0301569	2929	2725.16	0	0
FBtr0343166	3140	2936.16	0	0
FBtr0070029	1164	960.158	0.5	0.0171741
FBtr0301572	466	266.274	0	0
FBtr0070032	981	777.158	0	0
FBtr0070035	1129	925.158	0	0
FBtr0070036	611	407.808	83	6.71227
FBtr0070045	2227	2023.16	3988	65.0089
FBtr0070046	2844	2640.16	2985	37.2874
FBtr0299869	778	574.158	83876.6	4817.89
FBtr0299870	789	585.158	23264.4	1311.19
FBtr0333910	1224	1020.16	978.986	31.6487
FBtr0070063	6538	6334.16	7361.75	38.3301
FBtr0332992	7235	7031.16	659.246	3.0922
FBtr0070064	2054	1850.16	2919.08	52.0336
FBtr0070065	2110	1906.16	816.925	14.1342
FBtr0070066	3352	3148.16	0.00231705	2.42732e-05
FBtr0070067	3376	3172.16	65.9948	0.686123
FBtr0070068	3402	3198.16	0.00285421	2.94329e-05
FBtr0342962	4130	3926.16	0	0
FBtr0344149	3428	3224.16	1.33905e-07	1.3697e-09
FBtr0070069	1055	851.158	0	0
FBtr0070070	1188	984.158	0	0
FBtr0070071	2038	1834.16	5	0.0899043
FBtr0070072	917	713.158	0	0
FBtr0070073	1438	1234.16	3	0.0801674
FBtr0070074	1097	893.158	1	0.0369249
FBtr0070075	2430	2226.16	1	0.0148146
FBtr0070076	743	539.158	25.4555	1.55709
FBtr0112947	812	608.158	1025.38	55.605
FBtr0070077	532	330.022	12.0441	1.20359
FBtr0336919	837	633.158	67.7537	3.52914
FBtr0300328	580	376.966	4.9266	0.431015
FBtr0070078	517	315.443	48.0738	5.02614
FBtr0336920	787	583.158	24.3701	1.37822
FBtr0336921	526	324.219	0	0
FBtr0343501	627	423.64	0	0
FBtr0070079	2345	2141.16	969	14.9253
FBtr0070080	1119	915.158	0	0
FBtr0340145	1344	1140.16	4	0.115702
FBtr0070088	1243	1039.16	4.11093	0.130468
FBtr0070092	1950	1746.16	7526.31	142.15
FBtr0070093	2123	1919.16	274.695	4.72049
FBtr0070094	4342	4138.16	4659	37.1307
FBtr0070099	2279	2075.16	219	3.48049
FBtr0070100	1310	1106.16	1	0.0298147
FBtr0070101	1805	1601.16	106.689	2.19752
FBtr0070102	1821	1617.16	140.575	2.86684
FBtr0273442	1711	1507.16	64.3866	1.40891
FBtr0273443	1603	1399.16	8.09251	0.19075
FBtr0344150	1730	1526.16	42.2563	0.913143
FBtr0344151	1834	1630.16	7.57956e-07	1.53342e-08
FBtr0070103	1492	1288.16	5.17189	0.132412
FBtr0300326	4823	4619.16	38.8281	0.277224
FBtr0342963	1675	1471.16	0	0
FBtr0070107	1630	1426.16	58.2089	1.34607
FBtr0070108	1731	1527.16	960.768	20.7483
FBtr0340207	1751	1547.16	17.0236	0.36288
FBtr0070109	5422	5218.16	31.8057	0.201018
FBtr0307291	6331	6127.16	20.5979	0.110869
FBtr0307292	5251	5047.16	0	0
FBtr0307293	5425	5221.16	27.0989	0.171172
FBtr0307294	6324	6120.16	1.42775e-08	7.69374e-11
FBtr0307295	5425	5221.16	76.4975	0.483201
FBtr0070115	1175	971.158	1360	46.1845
FBtr0070116	2256	2052.16	1361.11	21.874
FBtr0070117	2199	1995.16	0	0
FBtr0070118	2197	1993.16	264.895	4.38307
FBtr0070119	3680	3476.16	4271	40.5207
FBtr0070120	4901	4697.16	1930.11	13.5517
FBtr0340081	4889	4685.16	97.2976	0.684897
FBtr0340082	4657	4453.16	475.596	3.52222
FBtr0070121	1550	1346.16	1082	26.5081
FBtr0308651	1229	1025.16	110.794	3.56428
FBtr0070122	696	492.416	4554.5	305.039
FBtr0343564	1145	941.158	273.706	9.59111
FBtr0070134	1236	1032.16	148	4.72893
FBtr0343759	1362	1158.16	0	0
FBtr0070135	2124	1920.16	543.53	9.33542
FBtr0070136	2103	1899.16	466.123	8.09444
FBtr0070137	2193	1989.16	173.347	2.87405
FBtr0070138	2249	2045.16	217.957	3.51472
FBtr0112928	2304	2100.16	0	0
FBtr0345511	3250	3046.16	3.04311	0.0329468
FBtr0479789	3208	3004.16	1887.29	20.7187
FBtr0479790	3915	3711.16	225.714	2.00584
FBtr0070142	475	274.837	0	0
FBtr0290198	1427	1223.16	6	0.161777
FBtr0070145	1802	1598.16	3	0.0619083
FBtr0070146	3619	3415.16	5977	57.7191
FBtr0070147	1603	1399.16	1.13738	0.0268094
FBtr0070148	1100	896.158	75103	2763.88
FBtr0070149	1565	1361.16	3	0.0726875
FBtr0070150	1686	1482.16	17.258	0.38401
