"sample"	"PC1: 32% variance"	"PC2: 16% variance"
"ManzF6HSan_REP2"	-28.5704329398638	-2.46139150285957
"ManzF6Ctrl_REP1"	-23.4255498198555	0.388830522977872
"ManzF6HSan_REP1"	-20.7736534084935	1.96926139250557
"ManzF6Ctrl_REP2"	-19.7276616109948	-0.750304398590688
"AkaaF6HSan_REP2"	-19.4897746839743	15.3514929146683
"ManzF6HSan_REP3"	-19.1892123992481	-2.01441656928664
"AkaaF6Ctrl_REP1"	-16.7285919431067	10.3993480530808
"AkaaF6HSan_REP3"	-16.6486720032389	12.12951260482
"AkaaF6Ctrl_REP3"	-15.6557537011733	14.079080618439
"AkaaF6Ctrl_REP2"	-14.4365655256844	14.4934302323037
"ManzF6Ctrl_REP3"	-11.6449934067414	-9.24801114180506
"AkaaF6HSan_REP1"	-9.37870203122302	28.2988219578547
"ManzF3Ctrl_REP3"	-7.24398552990317	-31.5691372195894
"ManzF3Ctrl_REP2"	-7.08912315909246	-36.1071598809119
"ManzF3Ctrl_REP1"	-6.65894331691466	-36.8219218886821
"AkaaF3Ctrl_REP1"	3.16326628865245	11.0040960068569
"AkaaF3Ctrl_REP2"	3.3452818709851	1.62020449709853
"AkaaF3Ctrl_REP3"	5.6824992232896	0.970533825119897
"ManzF3Heat_REP1"	29.626545945348	6.88941855625631
"ManzF3Heat_REP3"	33.5837229284218	-13.9515376152552
"AkaaF3Heat_REP1"	38.462081284525	-5.27527083789897
"AkaaF3Heat_REP3"	39.9301844888109	7.40610492442071
"ManzF3Heat_REP2"	40.0506283534	-7.07431432529329
"AkaaF3Heat_REP2"	42.8174050960753	20.2733292737705
