#id: 'mlib_deseq2_clustering_1'
#section_name: 'MERGED LIB: consensus_peaks DESeq2 sample similarity'
#description: "Matrix is generated from clustering with Euclidean distances between
#	       <a href='https://bioconductor.org/packages/release/bioc/html/DESeq2.html' target='_blank'>DESeq2</a>
#              rlog values for each sample
#              in the <a href='https://github.com/nf-core/atacseq/blob/master/bin/deseq2_qc.r'><code>deseq2_qc.r</code></a> script."
#plot_type: 'heatmap'
#anchor: 'mlib_deseq2_clustering_1'
#pconfig:
#    title: 'DESeq2: Heatmap of the sample-to-sample distances'
#    xlab: True
#    reverseColors: True
sample	AkaaF6HSan_REP2	ManzF6HSan_REP3	AkaaF6Ctrl_REP1	ManzF6Ctrl_REP3	AkaaF3Ctrl_REP3	AkaaF3Heat_REP3	AkaaF3Heat_REP1	ManzF6Ctrl_REP1	ManzF3Ctrl_REP2	AkaaF3Ctrl_REP2	ManzF6HSan_REP2	AkaaF6Ctrl_REP3	ManzF3Heat_REP1	ManzF3Ctrl_REP1	ManzF3Heat_REP3	ManzF3Heat_REP2	AkaaF3Heat_REP2	ManzF6HSan_REP1	AkaaF6HSan_REP1	AkaaF6Ctrl_REP2	ManzF3Ctrl_REP3	ManzF6Ctrl_REP2	AkaaF6HSan_REP3	AkaaF3Ctrl_REP1
AkaaF6HSan_REP2	0	40.6954782996627	36.6104448465422	43.490238668116	48.1958233469112	75.6221838399205	76.0494595446003	39.8394882911861	63.5692092657645	47.9435271191828	41.5556626957773	34.2141668913573	68.906715649639	64.3262832173201	75.1335979091101	78.0255767458013	77.0722603133076	36.8731867404186	45.5513896932984	37.5441140738459	60.4455365407908	36.840714150113	36.8385936343495	47.0479603450196
ManzF6HSan_REP3	40.6954782996627	0	37.2264486379694	33.3035885944915	46.5012315979796	75.2895227766164	72.2927958309104	32.7618860545299	53.0019032896221	47.941585476976	33.9518698141445	37.6941968570417	67.505361697671	53.1532907067222	68.8998515265828	73.8252945109963	79.4515048057314	31.7898602745895	52.4754616804364	40.0880376079619	50.7786404610104	30.4822625469132	39.289686217474	50.3398792774795
AkaaF6Ctrl_REP1	36.6104448465422	37.2264486379694	0	39.3798472693339	45.1974918221149	72.8185951008628	72.0347620843055	36.4984118140424	59.2087395599711	45.9110269145126	39.412395010163	32.6065717036532	65.8547015263227	59.8976063745376	70.7912029566508	74.2606726545305	75.0764595701913	34.1797649237547	45.4104814093727	36.1444611408046	56.3606561882157	33.8099342062774	35.6162292456222	46.1011594150988
ManzF6Ctrl_REP3	43.490238668116	33.3035885944915	39.3798472693339	0	43.1205012034866	70.4795342726387	66.0250149724828	34.5116103623998	46.8862589504651	45.695445457125	37.1844242141812	40.1424232891968	63.4543682907623	46.4159694183801	62.1921991236895	67.4268621451912	75.9967766131631	33.5864908472822	54.5593103809402	41.8265212074894	45.1542786674606	31.0931870538616	41.7151684741636	49.4106918840548
AkaaF3Ctrl_REP3	48.1958233469112	46.5012315979796	45.1974918221149	43.1205012034866	0	60.669039411316	59.2817854828999	49.3423319981281	54.6400234559976	38.3764090796753	52.7845994684676	43.798372160413	57.2760143733166	56.052567450931	57.7505096480027	60.7463091896839	63.5254087110965	46.5291527656036	52.6938453839128	45.6077755624646	51.8977239125488	44.2527611459595	45.4983735840006	41.3154203779295
AkaaF3Heat_REP3	75.6221838399205	75.2895227766164	72.8185951008628	70.4795342726387	60.669039411316	0	59.8118466739779	78.0437133573759	78.5550100805373	62.9860368589947	82.1003496971118	71.7340750395812	61.651563025038	79.4077485231007	62.424264898067	62.322885050619	61.7374308102293	75.3818829762978	74.2966942784538	71.9216038537983	76.7520787955964	74.0119312186389	73.0809594519687	64.4139622676564
AkaaF3Heat_REP1	76.0494595446003	72.2927958309104	72.0347620843055	66.0250149724828	59.2817854828999	59.8118466739779	0	75.3998031660261	73.1795889833962	62.7004431580672	79.9303560408011	71.6713038004087	60.2470845440296	72.6741790692747	57.6183794589831	58.6037343726144	63.6680302918549	73.074139533764	75.7384511394763	71.6820163561877	72.134134784309	71.7870485212136	73.0260351866292	64.7729567987618
ManzF6Ctrl_REP1	39.8394882911861	32.7618860545299	36.4984118140424	34.5116103623998	49.3423319981281	78.0437133573759	75.3998031660261	0	55.6768668882366	50.9421580150092	33.411615455038	37.6488462964989	70.2438759937251	55.3725690633325	72.3964168196446	77.0268296034864	82.1690221269292	30.857785349445	52.0630353124424	39.5131690025282	53.5321594868195	29.7019765214449	38.5079570986797	52.8042521124499
ManzF3Ctrl_REP2	63.5692092657645	53.0019032896221	59.2087395599711	46.8862589504651	54.6400234559976	78.5550100805373	73.1795889833962	55.6768668882366	0	54.9077816382268	54.8614533736487	60.9064212093598	73.8702950516833	41.043795179984	68.4905357984578	74.5394541770026	85.2132844943471	54.2160427912864	74.2114335460834	62.5328123295984	38.6681833462727	50.9765199984166	60.9315982214329	62.0673003810897
AkaaF3Ctrl_REP2	47.9435271191828	47.941585476976	45.9110269145126	45.695445457125	38.3764090796753	62.9860368589947	62.7004431580672	50.9421580150092	54.9077816382268	0	53.0746319488752	44.2354173500703	59.2722840780357	56.7816069843362	61.5350281831741	64.1277231486666	65.108349982469	47.287218947775	53.2232821199693	46.1210559828698	52.2985612431731	45.4051090439255	46.4389860781473	41.204203882851
ManzF6HSan_REP2	41.5556626957773	33.9518698141445	39.412395010163	37.1844242141812	52.7845994684676	82.1003496971118	79.9303560408011	33.411615455038	54.8614533736487	53.0746319488752	0	39.870149112809	74.3027069482635	56.1567479152873	76.3158713330956	81.736796481623	86.3368943674337	32.9468724584357	55.5454426709648	42.115510106109	52.9541289042409	30.9826257019173	41.1583578241936	55.4010876757628
AkaaF6Ctrl_REP3	34.2141668913573	37.6941968570417	32.6065717036532	40.1424232891968	43.798372160413	71.7340750395812	71.6713038004087	37.6488462964989	60.9064212093598	44.2354173500703	39.870149112809	0	65.0454866504408	61.7646146922089	70.8404634969772	73.8738924540561	73.2835713034561	34.6012762923803	42.8883667540333	34.0992242753757	57.711498598476	33.9903481630615	33.8461762412699	43.912731735383
ManzF3Heat_REP1	68.906715649639	67.505361697671	65.8547015263227	63.4543682907623	57.2760143733166	61.651563025038	60.2470845440296	70.2438759937251	73.8702950516833	59.2722840780357	74.3027069482635	65.0454866504408	0	73.8855189020622	60.4574810095716	61.0396680290728	62.6672149502259	67.299290407005	68.2005614802644	65.3889217095173	71.8698752015302	66.5622896316493	66.9323389206848	59.392914697026
ManzF3Ctrl_REP1	64.3262832173201	53.1532907067222	59.8976063745376	46.4159694183801	56.052567450931	79.4077485231007	72.6741790692747	55.3725690633325	41.043795179984	56.7816069843362	56.1567479152873	61.7646146922089	73.8855189020622	0	67.9903577353923	74.1070295646777	85.9028266734948	53.9398592482516	74.752008392937	63.0891208835677	41.6022602377346	52.1102548282588	61.8756196676973	62.9838482713427
