Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
1.28737	1.596015	1.71507	1.91381415257832	2.10964	17.839	16503	fold	AkaaF6HSan_REP2.mLb.clN
1.00227	1.49066	2.38922	5.70948645458401	7.11305	617.412	16503	-log10(qvalue)	AkaaF6HSan_REP2.mLb.clN
2.25436	2.82124	3.80212	7.22584807004787	8.752525	621.927	16503	-log10(pvalue)	AkaaF6HSan_REP2.mLb.clN
127	279	514	697.865418408774	951	5041	16503	length	AkaaF6HSan_REP2.mLb.clN
1.26321	1.6414	1.73213	1.88143432136194	1.9927325	17.8943	17152	fold	ManzF6HSan_REP3.mLb.clN
1.00682	1.48371	2.030925	4.22735216476213	4.6424325	520.791	17152	-log10(qvalue)	ManzF6HSan_REP3.mLb.clN
2.30906	2.880405	3.501725	5.79819341592817	6.30916	525.223	17152	-log10(pvalue)	ManzF6HSan_REP3.mLb.clN
124	264	489	663.999708488806	896	4540	17152	length	ManzF6HSan_REP3.mLb.clN
1.23334	1.59308	1.694675	1.86414271715767	2.013895	17.7206	15818	fold	AkaaF6Ctrl_REP1.mLb.clN
1.01336	1.4559375	2.188765	4.88168020735871	5.7703925	595.779	15818	-log10(qvalue)	AkaaF6Ctrl_REP1.mLb.clN
2.28447	2.8099425	3.62416	6.41827904918447	7.4158225	600.505	15818	-log10(pvalue)	AkaaF6Ctrl_REP1.mLb.clN
140	299	547	730.783980275635	993	4404	15818	length	AkaaF6Ctrl_REP1.mLb.clN
1.28214	1.609095	1.68122	1.82178788039649	1.886355	20.0643	21287	fold	ManzF6Ctrl_REP3.mLb.clN
1.00766	1.47471	1.8983	3.93881984967351	3.86325	585.619	21287	-log10(qvalue)	ManzF6Ctrl_REP3.mLb.clN
2.29801	2.862615	3.34892	5.48493456334852	5.485805	590.034	21287	-log10(pvalue)	ManzF6Ctrl_REP3.mLb.clN
106	226	417	585.381077653028	777	4122	21287	length	ManzF6Ctrl_REP3.mLb.clN
1.40267	1.81016	1.91749	2.10788660307277	2.2292	22.1234	17769	fold	AkaaF3Ctrl_REP3.mLb.clN
1.00554	1.50054	2.03292	4.13533330688277	4.31808	575.757	17769	-log10(qvalue)	AkaaF3Ctrl_REP3.mLb.clN
2.42769	3.02531	3.63848	5.83679180426586	6.11814	580.457	17769	-log10(pvalue)	AkaaF3Ctrl_REP3.mLb.clN
103	205	360	490.578423096404	642	3956	17769	length	AkaaF3Ctrl_REP3.mLb.clN
1.57496	2.2524775	2.397305	2.58983403055397	2.7252775	24.4718	14008	fold	AkaaF3Heat_REP3.mLb.clN
1.00137	1.30129	1.7074	2.69639941033695	2.8867825	326.068	14008	-log10(qvalue)	AkaaF3Heat_REP3.mLb.clN
2.60197	3.0390125	3.544445	4.62006629140491	4.928195	331.215	14008	-log10(pvalue)	AkaaF3Heat_REP3.mLb.clN
111	192	318	411.589734437464	527	3204	14008	length	AkaaF3Heat_REP3.mLb.clN
1.47795	2.21812	2.33835	2.50925309175921	2.605595	22.994	13688	fold	AkaaF3Heat_REP1.mLb.clN
1.00508	1.2778375	1.61491	2.53767887419638	2.5445425	341.91	13688	-log10(qvalue)	AkaaF3Heat_REP1.mLb.clN
2.66433	3.085055	3.514835	4.52341083942139	4.629535	347.014	13688	-log10(pvalue)	AkaaF3Heat_REP1.mLb.clN
