Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount	PMiscount
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	1_2	6	4	4	0	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	1_2	10	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	1_2	6	6	6	3	0
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	1_2	8	8	8	1	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	1_2	13	13	13	2	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	1_2	0	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	1_2	2	2	2	0	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	1_2	3	3	3	0	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	1_2	7	7	7	1	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	1_2	9	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	1_2	15	15	15	0	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	1_2	10	10	10	0	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	1_2	4	4	4	2	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	1_2	6	6	6	1	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	1_2	5	5	5	2	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	1_2	15	13	13	0	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	1_2	11	11	10	2	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	1_2	4	3	3	0	0
Akaa	Ctrl	Akaa_Ctrl	A19	A19_Ctrl	1_2	12	12	11	1	0
Akaa	Ctrl	Akaa_Ctrl	A20	A20_Ctrl	1_2	7	6	6	0	0
Akaa	Ctrl	Akaa_Ctrl	A21	A21_Ctrl	1_2	11	8	8	0	0
Akaa	Ctrl	Akaa_Ctrl	A22	A22_Ctrl	1_2	6	5	5	0	0
Akaa	Ctrl	Akaa_Ctrl	A23	A23_Ctrl	1_2	7	7	7	3	0
Akaa	Ctrl	Akaa_Ctrl	A24	A24_Ctrl	1_2	2	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A25	A25_Ctrl	1_2	3	2	2	0	0
Akaa	T37	Akaa_T37	A1	A1_T37	1_2	2	1	1	0	0
Akaa	T37	Akaa_T37	A2	A2_T37	1_2	1	0	0	0	0
Akaa	T37	Akaa_T37	A3	A3_T37	1_2	7	4	4	0	0
Akaa	T37	Akaa_T37	A4	A4_T37	1_2	18	4	3	0	0
Akaa	T37	Akaa_T37	A5	A5_T37	1_2	3	0	0	0	0
Akaa	T37	Akaa_T37	A6	A6_T37	1_2	2	1	1	0	0
Akaa	T37	Akaa_T37	A7	A7_T37	1_2	12	1	0	0	0
Akaa	T37	Akaa_T37	A8	A8_T37	1_2	6	1	1	0	0
Akaa	T37	Akaa_T37	A9	A9_T37	1_2	11	0	0	0	0
Akaa	T37	Akaa_T37	A10	A10_T37	1_2	2	2	2	1	0
Akaa	T37	Akaa_T37	A11	A11_T37	1_2	4	0	0	0	0
Akaa	T37	Akaa_T37	A12	A12_T37	1_2	21	6	5	0	0
Akaa	T37	Akaa_T37	A13	A13_T37	1_2	8	1	1	0	0
Akaa	T37	Akaa_T37	A14	A14_T37	1_2	14	12	12	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	1_2	2	2	2	0	0
Akaa	T37	Akaa_T37	A16	A16_T37	1_2	14	7	7	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	1_2	2	1	1	0	0
Akaa	T37	Akaa_T37	A18	A18_T37	1_2	4	3	3	0	0
Akaa	T37	Akaa_T37	A19	A19_T37	1_2	7	1	0	0	0
Akaa	T37	Akaa_T37	A20	A20_T37	1_2	3	0	0	0	0
Akaa	T37	Akaa_T37	A21	A21_T37	1_2	4	1	1	0	0
Akaa	T37	Akaa_T37	A22	A22_T37	1_2	0	0	0	0	0
Akaa	T37	Akaa_T37	A23	A23_T37	1_2	7	1	1	0	0
Akaa	T37	Akaa_T37	A24	A24_T37	1_2	0	0	0	0	0
Akaa	T37	Akaa_T37	A25	A25_T37	1_2	3	1	1	0	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	1_2	12	3	3	0	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	1_2	5	5	5	0	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	1_2	22	18	17	0	0
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	1_2	23	23	21	1	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	1_2	6	5	5	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	1_2	9	8	7	0	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	1_2	21	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	1_2	2	2	2	0	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	1_2	16	16	16	1	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	1_2	30	13	12	0	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	1_2	24	20	20	0	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	1_2	10	5	5	0	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	1_2	18	18	17	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	1_2	9	5	5	0	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	1_2	5	5	4	1	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	1_2	30	13	12	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	1_2	28	18	18	0	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	1_2	19	16	16	0	0
Manz	Ctrl	Manz_Ctrl	M19	M19_Ctrl	1_2	11	11	11	0	0
Manz	Ctrl	Manz_Ctrl	M20	M20_Ctrl	1_2	14	13	12	0	0
Manz	Ctrl	Manz_Ctrl	M21	M21_Ctrl	1_2	15	11	11	0	0
Manz	Ctrl	Manz_Ctrl	M22	M22_Ctrl	1_2	0	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M23	M23_Ctrl	1_2	10	8	7	0	0
Manz	Ctrl	Manz_Ctrl	M24	M24_Ctrl	1_2	6	6	6	0	0
Manz	Ctrl	Manz_Ctrl	M25	M25_Ctrl	1_2	0	0	0	0	0
Manz	T37	Manz_T37	M1	M1_T37	1_2	9	5	5	0	0
Manz	T37	Manz_T37	M2	M2_T37	1_2	14	4	3	0	0
Manz	T37	Manz_T37	M3	M3_T37	1_2	21	12	12	0	0
Manz	T37	Manz_T37	M4	M4_T37	1_2	1	0	0	0	0
Manz	T37	Manz_T37	M5	M5_T37	1_2	12	1	1	0	0
Manz	T37	Manz_T37	M6	M6_T37	1_2	11	1	1	0	0
Manz	T37	Manz_T37	M7	M7_T37	1_2	0	0	0	0	0
Manz	T37	Manz_T37	M8	M8_T37	1_2	11	2	2	0	0
Manz	T37	Manz_T37	M9	M9_T37	1_2	7	1	1	0	0
Manz	T37	Manz_T37	M10	M10_T37	1_2	5	2	2	0	0
Manz	T37	Manz_T37	M11	M11_T37	1_2	12	2	2	0	0
Manz	T37	Manz_T37	M12	M12_T37	1_2	7	3	3	0	0
Manz	T37	Manz_T37	M13	M13_T37	1_2	0	0	0	0	0
Manz	T37	Manz_T37	M14	M14_T37	1_2	25	3	3	0	0
Manz	T37	Manz_T37	M15	M15_T37	1_2	3	0	0	0	0
Manz	T37	Manz_T37	M16	M16_T37	1_2	16	3	2	0	0
Manz	T37	Manz_T37	M17	M17_T37	1_2	8	3	2	0	0
Manz	T37	Manz_T37	M18	M18_T37	1_2	0	0	0	0	0
Manz	T37	Manz_T37	M19	M19_T37	1_2	17	6	6	0	0
Manz	T37	Manz_T37	M20	M20_T37	1_2	6	0	0	0	0
Manz	T37	Manz_T37	M21	M21_T37	1_2	4	1	1	0	0
Manz	T37	Manz_T37	M22	M22_T37	1_2	10	0	0	0	0
Manz	T37	Manz_T37	M23	M23_T37	1_2	8	1	1	0	0
Manz	T37	Manz_T37	M24	M24_T37	1_2	14	3	3	0	0
Manz	T37	Manz_T37	M25	M25_T37	1_2	19	2	2	0	0
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	3_4	12	9	9	0	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	3_4	9	1	1	0	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	3_4	20	20	20	2	0
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	3_4	30	21	21	0	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	3_4	22	22	22	2	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	3_4	0	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	3_4	4	4	4	0	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	3_4	9	5	5	0	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	3_4	25	19	18	0	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	3_4	23	3	3	0	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	3_4	12	11	11	0	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	3_4	27	27	27	4	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	3_4	15	14	14	0	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	3_4	24	21	21	0	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	3_4	14	13	13	0	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	3_4	18	14	14	0	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	3_4	25	22	19	0	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	3_4	22	22	22	2	0
Akaa	Ctrl	Akaa_Ctrl	A19	A19_Ctrl	3_4	38	38	35	4	0
Akaa	Ctrl	Akaa_Ctrl	A20	A20_Ctrl	3_4	11	11	11	3	0
Akaa	Ctrl	Akaa_Ctrl	A21	A21_Ctrl	3_4	13	10	10	0	0
Akaa	Ctrl	Akaa_Ctrl	A22	A22_Ctrl	3_4	20	20	19	2	0
Akaa	Ctrl	Akaa_Ctrl	A23	A23_Ctrl	3_4	9	6	6	0	0
Akaa	Ctrl	Akaa_Ctrl	A24	A24_Ctrl	3_4	19	9	9	0	0
Akaa	Ctrl	Akaa_Ctrl	A25	A25_Ctrl	3_4	24	19	18	0	0
Akaa	T37	Akaa_T37	A1	A1_T37	3_4	25	16	13	0	0
Akaa	T37	Akaa_T37	A2	A2_T37	3_4	15	15	14	0	0
Akaa	T37	Akaa_T37	A3	A3_T37	3_4	19	18	18	0	0
Akaa	T37	Akaa_T37	A4	A4_T37	3_4	14	14	14	1	0
Akaa	T37	Akaa_T37	A5	A5_T37	3_4	19	18	17	0	0
Akaa	T37	Akaa_T37	A6	A6_T37	3_4	16	13	12	0	0
Akaa	T37	Akaa_T37	A7	A7_T37	3_4	10	7	7	0	0
Akaa	T37	Akaa_T37	A8	A8_T37	3_4	20	19	18	0	0
Akaa	T37	Akaa_T37	A9	A9_T37	3_4	20	20	20	4	0
Akaa	T37	Akaa_T37	A10	A10_T37	3_4	19	19	19	0	0
Akaa	T37	Akaa_T37	A11	A11_T37	3_4	12	9	7	0	0
Akaa	T37	Akaa_T37	A12	A12_T37	3_4	24	21	21	0	0
Akaa	T37	Akaa_T37	A13	A13_T37	3_4	10	7	7	0	0
Akaa	T37	Akaa_T37	A14	A14_T37	3_4	15	4	3	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	3_4	15	15	15	0	0
Akaa	T37	Akaa_T37	A16	A16_T37	3_4	26	18	18	0	0
Akaa	T37	Akaa_T37	A17	A17_T37	3_4	32	32	30	0	0
Akaa	T37	Akaa_T37	A18	A18_T37	3_4	24	20	18	0	0
Akaa	T37	Akaa_T37	A19	A19_T37	3_4	19	18	17	0	0
Akaa	T37	Akaa_T37	A20	A20_T37	3_4	16	12	12	0	0
Akaa	T37	Akaa_T37	A21	A21_T37	3_4	34	16	12	0	0
Akaa	T37	Akaa_T37	A22	A22_T37	3_4	0	0	0	0	0
