Pop	Treat	Pop_Treat	Tube	ID	Day	eggs	pupa	imag	EMiscount
Akaa	Ctrl	Akaa_Ctrl	A1	A1_Ctrl	1_2	28	4	4	0
Akaa	Ctrl	Akaa_Ctrl	A2	A2_Ctrl	1_2	36	22	20	0
Akaa	Ctrl	Akaa_Ctrl	A3	A3_Ctrl	1_2	26	20	20	0
Akaa	Ctrl	Akaa_Ctrl	A4	A4_Ctrl	1_2	36	32	29	0
Akaa	Ctrl	Akaa_Ctrl	A5	A5_Ctrl	1_2	29	22	21	0
Akaa	Ctrl	Akaa_Ctrl	A6	A6_Ctrl	1_2	38	29	27	0
Akaa	Ctrl	Akaa_Ctrl	A7	A7_Ctrl	1_2	40	35	32	0
Akaa	Ctrl	Akaa_Ctrl	A8	A8_Ctrl	1_2	20	6	6	0
Akaa	Ctrl	Akaa_Ctrl	A9	A9_Ctrl	1_2	40	38	36	0
Akaa	Ctrl	Akaa_Ctrl	A10	A10_Ctrl	1_2	42	34	33	0
Akaa	Ctrl	Akaa_Ctrl	A11	A11_Ctrl	1_2	27	24	24	0
Akaa	Ctrl	Akaa_Ctrl	A12	A12_Ctrl	1_2	33	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A13	A13_Ctrl	1_2	65	56	40	0
Akaa	Ctrl	Akaa_Ctrl	A14	A14_Ctrl	1_2	37	16	13	0
Akaa	Ctrl	Akaa_Ctrl	A15	A15_Ctrl	1_2	0	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A16	A16_Ctrl	1_2	21	0	0	0
Akaa	Ctrl	Akaa_Ctrl	A17	A17_Ctrl	1_2	5	4	4	0
Akaa	Ctrl	Akaa_Ctrl	A18	A18_Ctrl	1_2	31	17	15	0
Akaa	T37	Akaa_T37	A1	A1_T37	1_2	37	23	20	0
Akaa	T37	Akaa_T37	A2	A2_T37	1_2	41	41	37	0
Akaa	T37	Akaa_T37	A3	A3_T37	1_2	60	51	45	0
Akaa	T37	Akaa_T37	A4	A4_T37	1_2	45	13	12	0
Akaa	T37	Akaa_T37	A5	A5_T37	1_2	36	31	28	0
Akaa	T37	Akaa_T37	A6	A6_T37	1_2	29	27	25	0
Akaa	T37	Akaa_T37	A7	A7_T37	1_2	39	36	35	0
Akaa	T37	Akaa_T37	A8	A8_T37	1_2	23	18	14	0
Akaa	T37	Akaa_T37	A9	A9_T37	1_2	32	32	23	0
Akaa	T37	Akaa_T37	A10	A10_T37	1_2	61	61	55	0
Akaa	T37	Akaa_T37	A11	A11_T37	1_2	21	9	9	0
Akaa	T37	Akaa_T37	A12	A12_T37	1_2	56	36	33	0
Akaa	T37	Akaa_T37	A13	A13_T37	1_2	36	32	30	0
Akaa	T37	Akaa_T37	A14	A14_T37	1_2	0	0	0	0
Akaa	T37	Akaa_T37	A15	A15_T37	1_2	49	24	19	0
Akaa	T37	Akaa_T37	A16	A16_T37	1_2	45	37	35	0
Akaa	T37	Akaa_T37	A17	A17_T37	1_2	41	28	26	0
Akaa	T37	Akaa_T37	A18	A18_T37	1_2	28	18	18	0
Manz	Ctrl	Manz_Ctrl	M1	M1_Ctrl	1_2	29	15	12	0
Manz	Ctrl	Manz_Ctrl	M2	M2_Ctrl	1_2	31	1	1	0
Manz	Ctrl	Manz_Ctrl	M3	M3_Ctrl	1_2	38	38	35	0
Manz	Ctrl	Manz_Ctrl	M4	M4_Ctrl	1_2	33	22	14	0
Manz	Ctrl	Manz_Ctrl	M5	M5_Ctrl	1_2	44	0	0	0
Manz	Ctrl	Manz_Ctrl	M6	M6_Ctrl	1_2	36	30	27	0
Manz	Ctrl	Manz_Ctrl	M7	M7_Ctrl	1_2	25	13	13	0
Manz	Ctrl	Manz_Ctrl	M8	M8_Ctrl	1_2	33	12	11	0
Manz	Ctrl	Manz_Ctrl	M9	M9_Ctrl	1_2	43	0	0	0
Manz	Ctrl	Manz_Ctrl	M10	M10_Ctrl	1_2	45	28	18	0
Manz	Ctrl	Manz_Ctrl	M11	M11_Ctrl	1_2	38	26	21	0
Manz	Ctrl	Manz_Ctrl	M12	M12_Ctrl	1_2	30	13	8	0
Manz	Ctrl	Manz_Ctrl	M13	M13_Ctrl	1_2	0	0	0	0
Manz	Ctrl	Manz_Ctrl	M14	M14_Ctrl	1_2	20	7	7	0
Manz	Ctrl	Manz_Ctrl	M15	M15_Ctrl	1_2	81	12	5	0
Manz	Ctrl	Manz_Ctrl	M16	M16_Ctrl	1_2	54	0	0	0
Manz	Ctrl	Manz_Ctrl	M17	M17_Ctrl	1_2	14	1	1	0
Manz	Ctrl	Manz_Ctrl	M18	M18_Ctrl	1_2	70	53	47	0
