"Date"	"Time"	"Fly_ID"	"Ctbax"	"Ctmax"	"Batch"	"Population"
"1"	"13/12/2021"	"12:00"	"A01-a"	39	39.6	1	"Akaa"
"2"	"13/12/2021"	"12:00"	"A02-a"	38.4	38.9	1	"Akaa"
"3"	"13/12/2021"	"12:00"	"A03-a"	38.4	38.9	1	"Akaa"
"4"	"13/12/2021"	"12:00"	"A04-a"	38.7	39.7	1	"Akaa"
"5"	"13/12/2021"	"15:15"	"A05-a"	39.5	40.3	2	"Akaa"
"6"	"13/12/2021"	"15:15"	"A06-a"	39.1	39.9	2	"Akaa"
"7"	"13/12/2021"	"15:15"	"A07-a"	38	39.6	2	"Akaa"
"8"	"13/12/2021"	"15:15"	"A08-a"	38	39.6	2	"Akaa"
"9"	"13/12/2021"	"17:30"	"A09-a"	39	40.7	3	"Akaa"
"10"	"13/12/2021"	"17:30"	"A10-a"	39.4	39.4	3	"Akaa"
"11"	"13/12/2021"	"17:30"	"A11-a"	39.7	40	3	"Akaa"
"12"	"13/12/2021"	"17:30"	"A12-a"	37.9	39	3	"Akaa"
"13"	"13/12/2021"	"19:15"	"A13-a"	39.4	40.5	4	"Akaa"
"14"	"13/12/2021"	"19:15"	"A14-a"	40.7	40.7	4	"Akaa"
"15"	"13/12/2021"	"19:15"	"A15-a"	38.4	40.4	4	"Akaa"
"16"	"13/12/2021"	"19:15"	"A16-a"	38.7	39.7	4	"Akaa"
"33"	"13/12/2021"	"12:00"	"M01-a"	36.6	38	1	"Manz"
"34"	"13/12/2021"	"12:00"	"M02-a"	38.4	41	1	"Manz"
"35"	"13/12/2021"	"12:00"	"M03-a"	39.5	41.2	1	"Manz"
"36"	"13/12/2021"	"12:00"	"M04-a"	40.1	41.2	1	"Manz"
"37"	"13/12/2021"	"15:15"	"M05-a"	38.1	40.4	2	"Manz"
"38"	"13/12/2021"	"15:15"	"M06-a"	39.2	39.8	2	"Manz"
"39"	"13/12/2021"	"15:15"	"M07-a"	38.9	40.9	2	"Manz"
"40"	"13/12/2021"	"15:15"	"M08-a"	40.8	40.8	2	"Manz"
"41"	"13/12/2021"	"17:30"	"M09-a"	40.6	40.8	3	"Manz"
"42"	"13/12/2021"	"17:30"	"M10-a"	39.8	40.9	3	"Manz"
"43"	"13/12/2021"	"17:30"	"M11-a"	39.6	40.5	3	"Manz"
"44"	"13/12/2021"	"17:30"	"M12-a"	39	40	3	"Manz"
"45"	"13/12/2021"	"19:15"	"M13-a"	40.6	40.6	4	"Manz"
"46"	"13/12/2021"	"19:15"	"M14-a"	38.9	39.2	4	"Manz"
"47"	"13/12/2021"	"19:15"	"M15-a"	40.4	40.7	4	"Manz"
"48"	"13/12/2021"	"19:15"	"M16-a"	40.3	40.8	4	"Manz"
"65"	"14/12/2021"	"11:45"	"A01-b"	39.9	41	5	"Akaa"
"66"	"14/12/2021"	"11:45"	"A02-b"	39.1	40.6	5	"Akaa"
"67"	"14/12/2021"	"11:45"	"A03-b"	38.4	38.8	5	"Akaa"
"68"	"14/12/2021"	"11:45"	"A04-b"	38.6	39.6	5	"Akaa"
"69"	"14/12/2021"	"14:15"	"A05-b"	38.8	40.2	6	"Akaa"
"70"	"14/12/2021"	"14:15"	"A06-b"	40	40.4	6	"Akaa"
"71"	"14/12/2021"	"14:15"	"A07-b"	38.1	38.4	6	"Akaa"
"72"	"14/12/2021"	"14:15"	"A08-b"	38.8	40	6	"Akaa"
"73"	"14/12/2021"	"16:00"	"A09-b"	39.5	39.6	7	"Akaa"
"74"	"14/12/2021"	"16:00"	"A10-b"	39	39.4	7	"Akaa"
"75"	"14/12/2021"	"16:00"	"A11-b"	38.6	39.4	7	"Akaa"
"76"	"14/12/2021"	"16:00"	"A12-b"	38.9	39.9	7	"Akaa"
"77"	"14/12/2021"	"17:50"	"A13-b"	40	40	8	"Akaa"
"78"	"14/12/2021"	"17:50"	"A14-b"	38.7	39.6	8	"Akaa"
"79"	"14/12/2021"	"17:50"	"A15-b"	38.8	40	8	"Akaa"
"80"	"14/12/2021"	"17:50"	"A16-b"	38.7	39.4	8	"Akaa"
"97"	"14/12/2021"	"11:45"	"M01-b"	39.5	40.6	5	"Manz"
"98"	"14/12/2021"	"11:45"	"M02-b"	38.8	40.2	5	"Manz"
"99"	"14/12/2021"	"11:45"	"M03-b"	38.9	40.6	5	"Manz"
"100"	"14/12/2021"	"11:45"	"M04-b"	39.6	40.9	5	"Manz"
"101"	"14/12/2021"	"14:15"	"M05-b"	38.9	40	6	"Manz"
"102"	"14/12/2021"	"14:15"	"M06-b"	38.6	39.5	6	"Manz"
"103"	"14/12/2021"	"14:15"	"M07-b"	38.4	40.2	6	"Manz"
"104"	"14/12/2021"	"14:15"	"M08-b"	39.5	39.9	6	"Manz"
"105"	"14/12/2021"	"16:00"	"M09-b"	39.7	40.2	7	"Manz"
"106"	"14/12/2021"	"16:00"	"M10-b"	39.6	39.9	7	"Manz"
"107"	"14/12/2021"	"16:00"	"M11-b"	38.9	39.9	7	"Manz"
"108"	"14/12/2021"	"16:00"	"M12-b"	39.5	39.9	7	"Manz"
"109"	"14/12/2021"	"17:50"	"M13-b"	39.4	40	8	"Manz"
"110"	"14/12/2021"	"17:50"	"M14-b"	39.5	39.8	8	"Manz"
"111"	"14/12/2021"	"17:50"	"M15-b"	38.2	39.9	8	"Manz"
"112"	"14/12/2021"	"17:50"	"M16-b"	39.4	39.9	8	"Manz"
