"Pop"	"Treat"	"Pop_Treat"	"Tube"	"ID"	"Age"	"Density"	"Pupate"	"Cohort"	"ID_Cohort"
"1"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	8	4	1	1	"A1_Ctrl_1"
"2"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	9	4	1	1	"A1_Ctrl_1"
"3"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	10	4	1	1	"A1_Ctrl_1"
"4"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A1"	"A1_Ctrl"	12	4	1	1	"A1_Ctrl_1"
"5"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	9	6	1	1	"A3_Ctrl_1"
"6"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	6	1	1	"A3_Ctrl_1"
"7"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	6	1	1	"A3_Ctrl_1"
"8"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	10	6	1	1	"A3_Ctrl_1"
"9"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	11	6	1	1	"A3_Ctrl_1"
"10"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A3"	"A3_Ctrl"	11	6	1	1	"A3_Ctrl_1"
"11"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	8	8	1	1	"A4_Ctrl_1"
"12"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	8	8	1	1	"A4_Ctrl_1"
"13"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	10	8	1	1	"A4_Ctrl_1"
"14"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	10	8	1	1	"A4_Ctrl_1"
"15"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	11	8	1	1	"A4_Ctrl_1"
"16"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	11	8	1	1	"A4_Ctrl_1"
"17"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	12	8	1	1	"A4_Ctrl_1"
"18"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A4"	"A4_Ctrl"	13	8	1	1	"A4_Ctrl_1"
"19"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A5"	"A5_Ctrl"	9	13	1	1	"A5_Ctrl_1"
"20"	"Akaa"	"Ctrl"	"Akaa_Ctrl"	"A5"	"A5_Ctrl"	9	13	1	1	"A5_Ctrl_1"
