id	family	order
BDGP_aurora	Ninja	LTR
BDGP_Bari2	Bari2	TIR
BDGP_BS3	BS3	LINE
BDGP_frogger	frogger	LTR
BDGP_Fw3	Fw3	LINE
BDGP_G7	G7	LINE
BDGP_gypsy7	gypsy7	LTR
BDGP_Helitron	Helitron	Helitron
BDGP_invader5	Invader5	LTR
BDGP_Penelope	Penelope	PLE
BDGP_Q-element	Cr1a	LINE
BDGP_R1-2	R1-2	LINE
BDGP_TART-B	TART-B	LINE
BDGP_TART-C	TART-C	LINE
BDGP_Dana-Tom	Dana-Tom	LTR
BDGP_Helena	Helena	LINE
BDGP_Tom1	Tom1	LTR
BDGP_G5A	G5A	LINE
BDGP_gypsy11	gypsy11	LTR
BDGP_gypsy9	gypsy9	LTR
BDGP_Osvaldo	Osvaldo	LTR
BDGP_R2-element	R2-element	LINE
BDGP_transib3	transib3	TIR
BDGP_G5	G5	LINE
BDGP_gypsy3	gypsy3	LTR
BDGP_jockey2	jockey2	LINE
BDGP_TART-A	TART-A	LINE
BDGP_baggins	baggins	LINE
BDGP_Circe	Circe	LTR
BDGP_gypsy2	gypsy2	LTR
BDGP_Stalker	Stalker	LTR
BDGP_accord2	accord2	LTR
BDGP_rooA	rooA	LTR
BDGP_transib4	transib4	TIR
BDGP_R1A1-element	R1A1-element	LINE
BDGP_ZAM	ZAM	LTR
BDGP_Rt1c	Rt1c	LINE
con2_BS4	BS4	LINE
con2_Fw2	Fw2	LINE
con2_G3	G3	LINE
con2_gypsy10	gypsy10	LTR
con2_NOF	NOF	TIR
con2_Tc3	Tc3	TIR
con2_Doc4	Doc4	LINE
con3_gypsy6	gypsy6	LTR
con3_looper1	looper1	TIR
con2_Dbuz-Kepler	Kepler	TRIM
con2_gypsy5	gypsy5	LTR
con3_G4	G4	LINE
con3_invader2	Invader2	LTR
con4_invader6	Invader6	LTR
con3_Tc1-2	Tc1-2	TIR
con4_G-element	G-element	LINE
con2_gtwin	gtwin	LTR
con3_gypsy	gypsy	LTR
con3_gypsy8	gypsy8	LTR
con6_Stalker3	Stalker3	LTR
con2_diver2	diver2	LTR
con3_Porto1	Doc5	LINE
con4_Doc2	Doc2	LINE
con5_hopper2	hopper2	TIR
con6_1731	1731	LTR
con5_transib1	transib1	TIR
con8_G2	G2	LINE
con9_Bari1	Bari1	TIR
con3_G6b	G6	LINE
con4_GATE	GATE	LTR
con4_GATEa	GATE	LTR
con7_Dbuz-INE-1	INE-1	Helitron
con7_G6a	G6	LINE
con10_3S18	3S18	LTR
con10_Idefix	Idefix	LTR
con3_Doc3	Doc3	LINE
con7_gypsy12	gypsy12	LTR
con8_gypsy4	gypsy4	LTR
con10_HMS-Beagle2	HMS-Beagle2	LTR
con13_diver	diver	LTR
con12_Doc	Doc	LINE
con13_Tc1	Tc1	TIR
con14_Juan	Doc6	LINE
con8_micropia	Micropia	LTR
con10_accord	accord	LTR
con11_hopper	hopper	TIR
con11_mariner2	mariner2	TIR
con15_pogo	pogo	TIR
con10_McClintock	Quasimodo2	LTR
con12_TAHRE	THARE	LINE
con15_flea	Blastopia	LTR
con14_Rt1a	Rt1a	LINE
con17_rover	rover	LTR
con17_invader3	Invader3	LTR
con13_HB	HB	TIR
con14_invader4	Invader4	LTR
con20_Burdock	Burdock	LTR
con21_Ivk	Ivk	LINE
con21_springer	gypsy1	LTR
con14_F-element	F-element	LINE
con16_blood	blood	LTR
con19_transib2	transib2	TIR
con21_HeT-A	HeT-A	LINE
con23_copia	Copia	LTR
con24_Transpac	Transpac	LTR
con8_invader1	Invader1	LTR
con15_Rt1b	Rt1b	LINE
con22_Stalker2	Stalker2	LTR
con24_X-element	BS2	LINE
con26_BS	BS	LINE
