PeakID (cmd=annotatePeaks.pl ManzF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Heat_REP2.mLb.clN_peak_11476	chrX	23253178	23253777	+	3270	NA	Intergenic	Intergenic	9189	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP2.mLb.clN_peak_11336	chrX	21939336	21939683	+	2704	NA	Intergenic	Intergenic	-203549	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Heat_REP2.mLb.clN_peak_11334	chrX	21796822	21797153	+	2619	NA	Intergenic	Intergenic	163551	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF3Heat_REP2.mLb.clN_peak_11346	chrX	22433014	22433195	+	2227	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP2.mLb.clN_peak_11477	chrX	23262230	23262644	+	1727	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	229	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Heat_REP2.mLb.clN_peak_11516	chrX	23430877	23432210	+	1258	NA	Intergenic	Intergenic	139843	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11475	chrX	23239608	23240626	+	1099	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	399	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP2.mLb.clN_peak_11467	chrX	23212127	23213061	+	1023	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1295	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF3Heat_REP2.mLb.clN_peak_11482	chrX	23282434	23284156	+	819	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-364	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF3Heat_REP2.mLb.clN_peak_11525	chrX	23534926	23535736	+	801	NA	Intergenic	Intergenic	243631	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11520	chrX	23472175	23473470	+	676	NA	Intergenic	Intergenic	181122	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11517	chrX	23432803	23433733	+	647	NA	Intergenic	Intergenic	141568	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11468	chrX	23215745	23217175	+	619	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2008	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Heat_REP2.mLb.clN_peak_11465	chrX	23205281	23206523	+	567	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	80	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF3Heat_REP2.mLb.clN_peak_11485	chrX	23326554	23327416	+	552	NA	Intergenic	Intergenic	35285	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_11478	chrX	23270862	23271538	+	522	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-42	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Heat_REP2.mLb.clN_peak_11343	chrX	22382914	22383836	+	450	NA	Intergenic	Intergenic	-60852	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP2.mLb.clN_peak_10180	chrX	9515553	9515751	+	407	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4128	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF3Heat_REP2.mLb.clN_peak_11340	chrX	22354406	22354713	+	393	NA	Intergenic	Intergenic	-89668	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Heat_REP2.mLb.clN_peak_11483	chrX	23291071	23291999	+	386	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-14	FBgn0267523	FBgn0267523	FBtr0346897						NA
ManzF3Heat_REP2.mLb.clN_peak_11508	chrX	23406970	23407721	+	385	NA	Intergenic	Intergenic	115645	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Heat_REP2.mLb.clN_peak_10415	chrX	12437699	12437921	+	379	NA	intron (FBgn0287828, intron 7 of 15)	-intron (FBgn0287828, intron 7 of 15)	-3674	FBgn0287828	FBgn0287828	FBtr0340086						NA
ManzF3Heat_REP2.mLb.clN_peak_11472	chrX	23228429	23228782	+	375	NA	Intergenic	Intergenic	-11113	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Heat_REP2.mLb.clN_peak_11480	chrX	23278010	23280458	+	372	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	776	FBgn0267522	FBgn0267522	FBtr0346902						NA
