target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3348.68	16.0603	0.131525
FBtr0307554	3546	3357.68	0.474695	0.00387706
FBtr0307555	4528	4339.68	74.465	0.470567
FBtr0070002	1226	1037.68	0	0
FBtr0070003	1164	975.681	0	0
FBtr0301569	2929	2740.68	0	0
FBtr0343166	3140	2951.68	0	0
FBtr0070029	1164	975.681	0	0
FBtr0301572	466	280.187	0	0
FBtr0070032	981	792.681	0	0
FBtr0070035	1129	940.681	0	0
FBtr0070036	611	422.961	31	2.00996
FBtr0070045	2227	2038.68	4627	62.2412
FBtr0070046	2844	2655.68	4376	45.1886
FBtr0299869	778	589.681	105199	4892.41
FBtr0299870	789	600.681	20384.8	930.657
FBtr0333910	1224	1035.68	1096.06	29.0225
FBtr0070063	6538	6349.68	12783.5	55.2109
FBtr0332992	7235	7046.68	827.511	3.22045
FBtr0070064	2054	1865.68	3654.36	53.7157
FBtr0070065	2110	1921.68	1050.24	14.9878
FBtr0070066	3352	3163.68	0	0
FBtr0070067	3376	3187.68	0	0
FBtr0070068	3402	3213.68	67.1084	0.572667
FBtr0342962	4130	3941.68	0	0
FBtr0344149	3428	3239.68	14.8916	0.126057
FBtr0070069	1055	866.681	4	0.126569
FBtr0070070	1188	999.681	0	0
FBtr0070071	2038	1849.68	2	0.0296525
FBtr0070072	917	728.681	0	0
FBtr0070073	1438	1249.68	2	0.0438893
FBtr0070074	1097	908.681	1	0.0301798
FBtr0070075	2430	2241.68	0	0
FBtr0070076	743	554.681	25.2791	1.24981
FBtr0112947	812	623.681	1757.62	77.2842
FBtr0070077	532	344.78	0	0
FBtr0336919	837	648.681	68.9839	2.91638
FBtr0300328	580	392.084	0	0
FBtr0070078	517	329.985	51.7568	4.30131
FBtr0336920	787	598.681	30.3581	1.39061
FBtr0336921	526	338.917	0	0
FBtr0343501	627	438.919	0	0
FBtr0070079	2345	2156.68	1686	21.4387
FBtr0070080	1119	930.681	0	0
FBtr0340145	1344	1155.68	5	0.118648
FBtr0070088	1243	1054.68	26.8772	0.69886
FBtr0070092	1950	1761.68	6663.25	103.726
FBtr0070093	2123	1934.68	398.752	5.65225
FBtr0070094	4342	4153.68	5298	34.9789
FBtr0070099	2279	2090.68	3030	39.745
FBtr0070100	1310	1121.68	9	0.22004
FBtr0070101	1805	1616.68	55.927	0.94869
FBtr0070102	1821	1632.68	0	0
FBtr0273442	1711	1522.68	68.3428	1.23087
FBtr0273443	1603	1414.68	7.40358	0.143519
FBtr0344150	1730	1541.68	0	0
FBtr0344151	1834	1645.68	85.3267	1.42189
FBtr0070103	1492	1303.68	12.6948	0.267044
FBtr0300326	4823	4634.68	15.3052	0.0905619
FBtr0342963	1675	1486.68	0	0
FBtr0070107	1630	1441.68	132.162	2.514
FBtr0070108	1731	1542.68	1286.08	22.8623
