target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3340.27	0	0
FBtr0307554	3546	3349.27	64.9091	0.513948
FBtr0307555	4528	4331.27	40.0909	0.245468
FBtr0070002	1226	1029.27	0	0
FBtr0070003	1164	967.27	1	0.0274168
FBtr0301569	2929	2732.27	4	0.038824
FBtr0343166	3140	2943.27	0	0
FBtr0070029	1164	967.27	1	0.0274168
FBtr0301572	466	272.123	1	0.0974538
FBtr0070032	981	784.27	1	0.0338142
FBtr0070035	1129	932.27	0	0
FBtr0070036	611	414.6	48	3.07027
FBtr0070045	2227	2030.27	5001	65.3232
FBtr0070046	2844	2647.27	4213	42.2044
FBtr0299869	778	581.27	100792	4598.47
FBtr0299870	789	592.27	22622.8	1012.96
FBtr0333910	1224	1027.27	1071.03	27.6492
FBtr0070063	6538	6341.27	11784.9	49.2851
FBtr0332992	7235	7038.27	841.065	3.16904
FBtr0070064	2054	1857.27	3869.01	55.2445
FBtr0070065	2110	1913.27	810.723	11.2373
FBtr0070066	3352	3155.27	0	0
FBtr0070067	3376	3179.27	92	0.767405
FBtr0070068	3402	3205.27	0	0
FBtr0342962	4130	3933.27	0	0
FBtr0344149	3428	3231.27	0	0
FBtr0070069	1055	858.27	0	0
FBtr0070070	1188	991.27	3	0.080259
FBtr0070071	2038	1841.27	4	0.0576112
FBtr0070072	917	720.27	0	0
FBtr0070073	1438	1241.27	0	0
FBtr0070074	1097	900.27	1	0.0294572
FBtr0070075	2430	2233.27	0	0
FBtr0070076	743	546.326	31.3374	1.52116
FBtr0112947	812	615.27	1726.58	74.419
FBtr0070077	532	336.358	0	0
FBtr0336919	837	640.27	67.2708	2.7863
FBtr0300328	580	383.722	12.8988	0.891452
FBtr0070078	517	321.651	25.7346	2.12176
FBtr0336920	787	590.27	23.144	1.03981
FBtr0336921	526	330.391	0	0
FBtr0343501	627	430.516	6.03848	0.371966
FBtr0070079	2345	2148.27	1559	19.2452
FBtr0070080	1119	922.27	0	0
FBtr0340145	1344	1147.27	7	0.161807
FBtr0070088	1243	1046.27	73.1397	1.85385
FBtr0070092	1950	1753.27	6517.45	98.581
FBtr0070093	2123	1926.27	410.552	5.65217
FBtr0070094	4342	4145.27	5796	37.08
FBtr0070099	2279	2082.27	12033	153.25
FBtr0070100	1310	1113.27	98	2.33448
FBtr0070101	1805	1608.27	47.7867	0.787975
FBtr0070102	1821	1624.27	0	0
FBtr0273442	1711	1514.27	111.265	1.94858
FBtr0273443	1603	1406.27	8.96003	0.168968
FBtr0344150	1730	1533.27	0	0
FBtr0344151	1834	1637.27	62.9886	1.02025
FBtr0070103	1492	1295.27	17.3319	0.354854
FBtr0300326	4823	4626.27	26.3882	0.151267
FBtr0342963	1675	1478.27	6.27989	0.112658
FBtr0070107	1630	1433.27	149.572	2.76749
FBtr0070108	1731	1534.27	1408.56	24.3466
FBtr0340207	1751	1554.27	33.8637	0.577794
FBtr0070109	5422	5225.27	19.5451	0.0991956
FBtr0307291	6331	6134.27	14.8167	0.0640551
FBtr0307292	5251	5054.27	0	0
FBtr0307293	5425	5228.27	74.6381	0.378588
FBtr0307294	6324	6127.27	0	0
FBtr0307295	5425	5228.27	0.000150506	7.63414e-07
FBtr0070115	1175	978.27	1677	45.461
FBtr0070116	2256	2059.27	1805.71	23.2541
FBtr0070117	2199	2002.27	0	0
FBtr0070118	2197	2000.27	470.289	6.23505
FBtr0070119	3680	3483.27	5679	43.2363
FBtr0070120	4901	4704.27	3764.3	21.2205
FBtr0340081	4889	4692.27	32.7941	0.185343
FBtr0340082	4657	4460.27	399.91	2.37775
FBtr0070121	1550	1353.27	1769	34.6663
FBtr0308651	1229	1032.27	170.127	4.37062
FBtr0070122	696	499.379	3800.87	201.845
FBtr0343564	1145	948.27	277.202	7.75225
FBtr0070134	1236	1039.27	169.989	4.33767
FBtr0343759	1362	1165.27	8.95127	0.203715
FBtr0070135	2124	1927.27	852.259	11.7272
FBtr0070136	2103	1906.27	336.501	4.6813
FBtr0070137	2193	1996.27	286.24	3.80255
FBtr0070138	2249	2052.27	507.168	6.55363
FBtr0112928	2304	2107.27	3.73109	0.0469547
FBtr0345511	3250	3053.27	6.10044	0.0529859
FBtr0479789	3208	3011.27	2366.22	20.8387
FBtr0479790	3915	3718.27	299.776	2.13806
FBtr0070142	475	280.984	0	0
FBtr0290198	1427	1230.27	13	0.280225
FBtr0070145	1802	1605.27	4	0.0660809
FBtr0070146	3619	3422.27	8887	68.8661
FBtr0070147	1603	1406.27	63.9996	1.2069
FBtr0070148	1100	903.27	98266	2885.03
FBtr0070149	1565	1368.27	62	1.20167
FBtr0070150	1686	1489.27	35.7264	0.63618
FBtr0070151	6137	5940.27	10709.5	47.8111
FBtr0308652	5149	4952.27	848.255	4.54241
FBtr0070155	568	371.835	71023.7	5065.44
FBtr0070156	555	358.944	4685.23	346.154
FBtr0070157	535	339.29	430.018	33.6109
FBtr0070158	592	395.682	607.045	40.6854
FBtr0345321	493	298.145	10107	899.001
FBtr0070159	387	198.493	3160	422.188
FBtr0070160	499	303.964	478	41.7033
FBtr0070161	4310	4113.27	3173.67	20.4616
FBtr0110791	4398	4201.27	3.97476e-05	2.50897e-07
FBtr0339430	4725	4528.27	899.115	5.26559
FBtr0339431	4307	4110.27	301.724	1.94672
FBtr0339432	4391	4194.27	6391.34	40.411
FBtr0339433	4448	4251.27	217.067	1.35406
FBtr0339434	3741	3544.27	745.083	5.57497
FBtr0110804	516	320.651	0	0
FBtr0070163	881	684.27	0	0
FBtr0070164	634	437.516	1	0.0606137
FBtr0310165	645	448.471	0	0
FBtr0070165	602	405.682	1049	68.5731
FBtr0307181	2880	2683.27	0.777324	0.00768249
FBtr0345512	3540	3343.27	30.3929	0.241082
FBtr0070167	2100	1903.27	204.91	2.85514
FBtr0070168	1777	1580.27	721.725	12.1117
FBtr0070169	1896	1699.27	289.076	4.51143
FBtr0307182	1623	1426.27	1906.73	35.4529
FBtr0332589	1656	1459.27	105.557	1.91829
FBtr0070170	2155	1958.27	2334.09	31.6089
FBtr0070171	667	470.379	3	0.169136
FBtr0070172	590	393.722	1	0.0673558
FBtr0070173	1412	1215.27	1243	27.1246
FBtr0070179	1107	910.27	209	6.08892
FBtr0070180	489	294.264	0	0
FBtr0070181	4766	4569.27	22.941	0.133147
FBtr0113327	4995	4798.27	236.059	1.30467
FBtr0331339	4766	4569.27	22.941	0.133147
FBtr0331340	4325	4128.27	2451.06	15.7453
FBtr0070182	2214	2017.27	5466	71.8571
FBtr0070183	2462	2265.27	59.9442	0.701765
FBtr0070184	462	268.232	2	0.197735
FBtr0070185	2073	1876.27	2	0.0282682
FBtr0342734	2540	2343.27	0	0
FBtr0070186	839	642.27	14	0.578062
FBtr0070187	2496	2299.27	25.9107	0.29885
FBtr0070188	1515	1318.27	2312.83	46.5268
FBtr0070189	1545	1348.27	6	0.118015
FBtr0331301	1301	1104.27	7	0.168107
FBtr0070195	987	790.27	2	0.0671149
FBtr0310459	500	304.964	0	0
FBtr0336688	1664	1467.27	41.0558	0.742042
FBtr0070197	1199	1002.27	425.328	11.2539
FBtr0310611	1698	1501.27	12.0342	0.212581
FBtr0345513	2256	2059.27	13.6376	0.175625
FBtr0070198	783	586.27	0	0
FBtr0342727	1387	1190.27	0	0
FBtr0070199	1430	1233.27	0	0
FBtr0310612	1564	1367.27	0	0
FBtr0070200	1413	1216.27	3	0.0654117
FBtr0070201	2704	2507.27	43	0.454812
FBtr0345506	2801	2604.27	0	0
FBtr0070202	2579	2382.27	3	0.033396
FBtr0070203	1603	1406.27	6350	119.748
FBtr0070204	819	622.27	22	0.937579
FBtr0070205	1884	1687.27	12.0519	0.189425
FBtr0342728	1744	1547.27	267.948	4.5925
FBtr0070206	1599	1402.27	6.79614	0.128527
FBtr0342729	980	783.27	0.20386	0.00690214
FBtr0070207	6581	6384.27	16038	66.6198
FBtr0070209	2347	2150.27	3656.87	45.1005
FBtr0310619	1989	1792.27	117.126	1.73307
FBtr0070211	1002	805.27	47	1.54782
FBtr0303284	910	713.27	0	0
FBtr0070212	2460	2263.27	4581	53.677
FBtr0070213	690	493.379	2	0.107501
FBtr0070215	3055	2858.27	3398.21	31.529
FBtr0339772	3096	2899.27	65.7434	0.601351
FBtr0339773	2945	2748.27	6.652e-05	6.41885e-07
FBtr0339774	3635	3438.27	243.05	1.87465
FBtr0070216	2708	2511.27	4327.53	45.6994
FBtr0070217	2853	2656.27	480.473	4.7969
FBtr0070218	2739	2542.27	0	0
FBtr0070219	3697	3500.27	63.62	0.48201
FBtr0070222	3438	3241.27	0	0
FBtr0342735	3484	3287.27	0	0
FBtr0342736	3220	3023.27	19.1976	0.168397
FBtr0342737	3585	3388.27	20.7752	0.162604
FBtr0330317	3511	3314.27	66.9904	0.53603
FBtr0330318	3726	3529.27	0	0
FBtr0330319	3254	3057.27	37.8553	0.328365
FBtr0330320	4058	3861.27	126.562	0.869232
FBtr0479843	3484	3287.27	0	0
FBtr0070225	3784	3587.27	2105.93	15.5684
FBtr0332291	3799	3602.27	83.0657	0.611519
FBtr0332292	3603	3406.27	48.0021	0.373719
FBtr0070230	3382	3185.27	2284	19.0158
FBtr0070231	1713	1516.27	79	1.3817
FBtr0070233	831	634.27	834	34.8703
FBtr0070234	1114	917.27	2050	59.2681
FBtr0070235	3623	3426.27	2751.8	21.299
FBtr0342738	3887	3690.27	1803.2	12.9584
FBtr0332287	3620	3423.27	0.000416763	3.22858e-06
FBtr0070236	2319	2122.27	1677	20.9554
FBtr0070237	1374	1177.27	3.14857e-08	7.09254e-10
FBtr0332288	2243	2046.27	0	0
FBtr0070238	4457	4260.27	71.0004	0.441965
FBtr0342730	4397	4200.27	69.9996	0.44196
FBtr0070239	5365	5168.27	4641.24	23.8152
FBtr0070241	4274	4077.27	45.8493	0.298214
FBtr0342731	5323	5126.27	196.154	1.01475
FBtr0310282	5414	5217.27	14.3428	0.0729048
FBtr0310283	5157	4960.27	0	0
FBtr0303264	5470	5273.27	64.4113	0.323926
FBtr0302877	404	214.023	0	0
FBtr0070244	7025	6828.27	129.386	0.502504
FBtr0330391	7025	6828.27	129.386	0.502504
FBtr0345507	6975	6778.27	50.3171	0.196862
FBtr0070245	2890	2693.27	2749	27.0682
FBtr0070250	1487	1290.27	881.805	18.1241
FBtr0345522	3018	2821.27	103.195	0.970012
FBtr0070251	2159	1962.27	3	0.040544
FBtr0070252	1638	1441.27	1	0.0184
FBtr0070253	859	662.27	46.6937	1.86976
FBtr0339576	905	708.27	61.5459	2.30443
FBtr0339577	855	658.27	82.0843	3.30689
FBtr0300352	799	602.27	0	0
FBtr0345508	1474	1277.27	37.3835	0.776179
FBtr0070254	753	556.27	41.2926	1.96857
FBtr0070257	1082	885.27	4	0.119825
FBtr0070259	2082	1885.27	2559.27	36.0004
FBtr0339589	2672	2475.27	296.834	3.18021
FBtr0070260	3254	3057.27	140.613	1.21971
FBtr0339591	4686	4489.27	103.454	0.611132
FBtr0339590	2776	2579.27	3717.93	38.2269
FBtr0070269	3161	2964.27	1474	13.1869
FBtr0070270	2540	2343.27	1316.75	14.902
FBtr0333115	3038	2841.27	65.7834	0.614
FBtr0273400	1470	1273.27	0	0
FBtr0308320	3151	2954.27	18.6569	0.167477
FBtr0070272	2139	1942.27	1	0.0136538
FBtr0070277	2149	1952.27	84.5894	1.14905
FBtr0302174	2966	2769.27	0.0281351	0.000269431
FBtr0302175	2336	2139.27	0	0
FBtr0345509	2972	2775.27	16.372	0.156445
FBtr0070278	1115	918.27	0	0
FBtr0344154	1247	1050.27	0	0
FBtr0070279	2210	2013.27	1124.54	14.8127
FBtr0330407	2218	2021.27	13.5932	0.178346
FBtr0333116	2047	1850.27	44.8711	0.643126
FBtr0070283	829	632.27	770.736	32.3271
FBtr0070284	6411	6214.27	3582.14	15.2868
FBtr0343517	6772	6575.27	147.383	0.594425
FBtr0303587	5100	4903.27	1272.24	6.88094
FBtr0070285	457	263.607	1	0.100602
FBtr0070289	1109	912.27	947.423	27.5413
FBtr0070290	1083	886.27	183175	5481.07
FBtr0339593	1035	838.27	1797.63	56.8695
FBtr0339594	1088	891.27	1444.6	42.9836
FBtr0070293	1466	1269.27	0	0
FBtr0070294	1564	1367.27	797	15.4585
FBtr0070295	1063	866.27	42	1.28576
FBtr0070296	1634	1437.27	1453	26.8097
FBtr0070298	870	673.27	36	1.418
FBtr0070301	803	606.27	0	0
FBtr0070308	842	645.27	1463	60.1266
