PeakID (cmd=annotatePeaks.pl ManzF3Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF3Ctrl_REP1.mLb.clN_peak_19982	chrX	23253170	23253784	+	5660	NA	Intergenic	Intergenic	9189	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19983	chrX	23262181	23262649	+	4643	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	251	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19981	chrX	23239616	23240648	+	3751	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	414	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20018	chrX	23534957	23535769	+	3242	NA	Intergenic	Intergenic	243663	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19972	chrX	23212057	23213069	+	2943	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1326	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20010	chrX	23430882	23432220	+	2677	NA	Intergenic	Intergenic	139851	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19876	chrX	22433013	22433195	+	2671	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20014	chrX	23472330	23473471	+	2437	NA	Intergenic	Intergenic	181200	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19984	chrX	23270828	23271322	+	2240	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	83	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19974	chrX	23215738	23217204	+	2131	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2019	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF3Ctrl_REP1.mLb.clN_peak_20011	chrX	23432716	23433743	+	2060	NA	Intergenic	Intergenic	141529	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19867	chrX	21939331	21939685	+	1967	NA	Intergenic	Intergenic	-203550	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF3Ctrl_REP1.mLb.clN_peak_19988	chrX	23282402	23284157	+	1941	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-348	FBgn0267521	FBgn0267521	FBtr0346900						NA
