PeakID (cmd=annotatePeaks.pl ManzF6HSan_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ManzF6HSan_REP3.mLb.clN_peak_17120	chrX	23262175	23262649	+	5207	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	254	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP3.mLb.clN_peak_17119	chrX	23253150	23253784	+	5059	NA	Intergenic	Intergenic	9199	FBgn0085819	FBgn0085819	FBtr0346904						NA
ManzF6HSan_REP3.mLb.clN_peak_17118	chrX	23239608	23240649	+	4325	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	410	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP3.mLb.clN_peak_17151	chrX	23535040	23535801	+	3296	NA	Intergenic	Intergenic	243720	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17143	chrX	23430874	23432230	+	3060	NA	Intergenic	Intergenic	139852	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17111	chrX	23212056	23213079	+	2623	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1322	FBgn0267517	FBgn0267517	FBtr0346893						NA
ManzF6HSan_REP3.mLb.clN_peak_17147	chrX	23472175	23473471	+	2413	NA	Intergenic	Intergenic	181123	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17121	chrX	23270822	23271377	+	2312	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	59	FBgn0267520	FBgn0267520	FBtr0346903						NA
ManzF6HSan_REP3.mLb.clN_peak_17024	chrX	21939331	21939685	+	2242	NA	Intergenic	Intergenic	-203550	FBgn0085521	FBgn0085521	FBtr0346695						NA
ManzF6HSan_REP3.mLb.clN_peak_17113	chrX	23215738	23217204	+	2231	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2019	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP3.mLb.clN_peak_17022	chrX	21796902	21797153	+	2020	NA	Intergenic	Intergenic	163591	FBgn0267704	FBgn0267704	FBtr0347227						NA
ManzF6HSan_REP3.mLb.clN_peak_17128	chrX	23326887	23327417	+	1970	NA	Intergenic	Intergenic	35452	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17125	chrX	23282400	23284154	+	1838	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-346	FBgn0267521	FBgn0267521	FBtr0346900						NA
ManzF6HSan_REP3.mLb.clN_peak_17144	chrX	23432732	23433743	+	1752	NA	Intergenic	Intergenic	141537	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17109	chrX	23205192	23206524	+	1526	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	36	FBgn0267515	FBgn0267515	FBtr0346891						NA
ManzF6HSan_REP3.mLb.clN_peak_17031	chrX	22433014	22433195	+	1363	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP3.mLb.clN_peak_17126	chrX	23291350	23292001	+	1194	NA	promoter-TSS (FBgn0267524)	-promoter-TSS (FBgn0267524)	-25	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17123	chrX	23278010	23280478	+	1002	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	766	FBgn0267522	FBgn0267522	FBtr0346902						NA
ManzF6HSan_REP3.mLb.clN_peak_9647	chr3L	27126141	27127542	+	971	NA	Intergenic	Intergenic	-8343	FBgn0267985	FBgn0267985	FBtr0347582						NA
ManzF6HSan_REP3.mLb.clN_peak_17152	chrX	23537066	23538423	+	926	NA	Intergenic	Intergenic	246044	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_17145	chrX	23438819	23442083	+	897	NA	Intergenic	Intergenic	148751	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_13634	chr4	1288240	1289093	+	769	NA	Intergenic	Intergenic	57829	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP3.mLb.clN_peak_7723	chr3L	8724874	8726515	+	713	NA	promoter-TSS (FBgn0264696)	-promoter-TSS (FBgn0264696)	80	FBgn0264696	FBgn0264696	FBtr0333890						NA
ManzF6HSan_REP3.mLb.clN_peak_17029	chrX	22382873	22383857	+	667	NA	Intergenic	Intergenic	-60862	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP3.mLb.clN_peak_17124	chrX	23281069	23281365	+	483	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-940	FBgn0250731	FBgn0250731	FBtr0346901						NA
ManzF6HSan_REP3.mLb.clN_peak_3028	chr2R	6480500	6481819	+	459	NA	Intergenic	Intergenic	20613	FBgn0267744	FBgn0267744	FBtr0347304						NA
ManzF6HSan_REP3.mLb.clN_peak_13632	chr4	1278816	1279496	+	447	NA	Intergenic	Intergenic	48319	FBgn0053653	FBgn0053653	FBtr0333702						NA
ManzF6HSan_REP3.mLb.clN_peak_17110	chrX	23210949	23211274	+	444	NA	promoter-TSS (FBgn0085813)	-promoter-TSS (FBgn0085813)	-81	FBgn0085813	FBgn0085813	FBtr0346892						NA
ManzF6HSan_REP3.mLb.clN_peak_17140	chrX	23406964	23407588	+	441	NA	Intergenic	Intergenic	115576	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_6599	chr2R	25268740	25269522	+	434	NA	Intergenic	Intergenic	17204	FBgn0050428	FBgn0050428	FBtr0343515						NA
ManzF6HSan_REP3.mLb.clN_peak_1550	chr2L	13060067	13060613	+	429	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-200	FBgn0262160	FBgn0262160	FBtr0336617						NA
ManzF6HSan_REP3.mLb.clN_peak_17115	chrX	23227032	23228782	+	424	NA	Intergenic	Intergenic	-11811	FBgn0085771	FBgn0085771	FBtr0346896						NA
ManzF6HSan_REP3.mLb.clN_peak_2567	chr2R	870292	870591	+	423	NA	Intergenic	Intergenic	15627	FBgn0284080	FBgn0284080	FBtr0452096						NA
ManzF6HSan_REP3.mLb.clN_peak_11354	chr3R	16242307	16242909	+	423	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-208	FBgn0040071	FBgn0040071	FBtr0083258						NA
ManzF6HSan_REP3.mLb.clN_peak_17112	chrX	23214309	23215000	+	419	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	202	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP3.mLb.clN_peak_2658	chr2R	3140707	3141065	+	412	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74387	FBgn0260995	FBgn0260995	FBtr0334939						NA
ManzF6HSan_REP3.mLb.clN_peak_9599	chr3L	24737931	24739135	+	405	NA	intron (FBgn0287186, intron 3 of 5)	-intron (FBgn0287186, intron 4 of 6)	14371	FBgn0287186	FBgn0287186	FBtr0339923						NA
ManzF6HSan_REP3.mLb.clN_peak_6881	chr3L	1586411	1586957	+	404	NA	promoter-TSS (FBgn0035237)	-promoter-TSS (FBgn0035237)	-10	FBgn0035237	FBgn0035237	FBtr0347066						NA
ManzF6HSan_REP3.mLb.clN_peak_5742	chr2R	20111085	20111593	+	384	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-172	FBgn0287775	FBgn0287775	FBtr0086309						NA
ManzF6HSan_REP3.mLb.clN_peak_5525	chr2R	18652703	18653231	+	381	NA	promoter-TSS (FBgn0034371)	-promoter-TSS (FBgn0034371)	-191	FBgn0034371	FBgn0034371	FBtr0086657						NA
ManzF6HSan_REP3.mLb.clN_peak_15071	chrX	8293972	8295980	+	377	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21170	FBgn0030029	FBgn0030029	FBtr0071178						NA
ManzF6HSan_REP3.mLb.clN_peak_17026	chrX	22354410	22354695	+	374	NA	Intergenic	Intergenic	-89675	FBgn0031183	FBgn0031183	FBtr0339557						NA
ManzF6HSan_REP3.mLb.clN_peak_9596	chr3L	24629520	24629720	+	356	NA	Intergenic	Intergenic	76510	FBgn0085810	FBgn0085810	FBtr0114264						NA
ManzF6HSan_REP3.mLb.clN_peak_11413	chr3R	16702815	16703231	+	347	NA	intron (FBgn0003944, intron 1 of 1)	-intron (FBgn0003944, intron 3 of 3)	31403	FBgn0003944	FBgn0003944	FBtr0083352						NA
ManzF6HSan_REP3.mLb.clN_peak_12131	chr3R	22396485	22397811	+	345	NA	promoter-TSS (FBgn0051166)	-promoter-TSS (FBgn0051166)	113	FBgn0051167	FBgn0051167	FBtr0084232						NA
ManzF6HSan_REP3.mLb.clN_peak_1815	chr2L	16525901	16526647	+	342	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2648	FBgn0086038	FBgn0086038	FBtr0114314						NA
ManzF6HSan_REP3.mLb.clN_peak_16221	chrX	16216641	16217769	+	338	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-459	FBgn0000459	FBgn0000459	FBtr0074250						NA
ManzF6HSan_REP3.mLb.clN_peak_14686	chrX	5754681	5756215	+	336	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-126	FBgn0029801	FBgn0029801	FBtr0345789						NA
ManzF6HSan_REP3.mLb.clN_peak_17114	chrX	23221308	23223665	+	326	NA	Intergenic	Intergenic	8034	FBgn0267519	FBgn0267519	FBtr0346895						NA
ManzF6HSan_REP3.mLb.clN_peak_8070	chr3L	11552939	11553668	+	323	NA	promoter-TSS (FBgn0259481)	-promoter-TSS (FBgn0259481)	-8693	FBgn0036173	FBgn0036173	FBtr0333215						NA
ManzF6HSan_REP3.mLb.clN_peak_12002	chr3R	21604676	21605885	+	320	NA	intron (FBgn0283499, intron 1 of 12)	-intron (FBgn0283499, intron 1 of 12)	10460	FBgn0264826	FBgn0264826	FBtr0334680						NA
ManzF6HSan_REP3.mLb.clN_peak_13639	chrX	52586	54929	+	318	NA	Intergenic	Intergenic	-68736	FBgn0058469	FBgn0058469	FBtr0307364						NA
ManzF6HSan_REP3.mLb.clN_peak_9612	chr3L	25133239	25134190	+	312	NA	Intergenic	Intergenic	12965	FBgn0260008	FBgn0260008	FBtr0343636						NA
ManzF6HSan_REP3.mLb.clN_peak_1704	chr2L	14490168	14491156	+	311	NA	promoter-TSS (FBgn0005771)	-promoter-TSS (FBgn0005771)	-197	FBgn0005771	FBgn0005771	FBtr0080643						NA
ManzF6HSan_REP3.mLb.clN_peak_15256	chrX	9515561	9515748	+	311	NA	intron (FBgn0267253, intron 1 of 2)	-intron (FBgn0267253, intron 1 of 2)	4130	FBgn0054028	FBgn0054028	FBtr0100083						NA
ManzF6HSan_REP3.mLb.clN_peak_5873	chr2R	21075877	21076205	+	310	NA	promoter-TSS (FBgn0003748)	-promoter-TSS (FBgn0003748)	376	FBgn0003748	FBgn0003748	FBtr0071535						NA
ManzF6HSan_REP3.mLb.clN_peak_4202	chr2R	11603166	11603742	+	309	NA	intron (FBgn0033636, intron 1 of 15)	-intron (FBgn0033636, intron 1 of 16)	1482	FBgn0033636	FBgn0033636	FBtr0113066						NA
ManzF6HSan_REP3.mLb.clN_peak_8399	chr3L	14673939	14675032	+	308	NA	promoter-TSS (FBgn0011927)	-promoter-TSS (FBgn0011927)	141	FBgn0011928	FBgn0011928	FBtr0075681						NA
ManzF6HSan_REP3.mLb.clN_peak_1240	chr2L	9782136	9782972	+	304	NA	exon (FBgn0032147, exon 1 of 4)	-exon (FBgn0032147, exon 1 of 4)	-3692	FBgn0032147	FBgn0032147	FBtr0307204						NA
ManzF6HSan_REP3.mLb.clN_peak_1111	chr2L	8717867	8718538	+	304	NA	intron (FBgn0003209, intron 1 of 8)	-intron (FBgn0003209, intron 1 of 8)	12630	FBgn0032061	FBgn0032061	FBtr0339543						NA
ManzF6HSan_REP3.mLb.clN_peak_11349	chr3R	16224284	16224947	+	302	NA	TTS (FBgn0267203)	-TTS (FBgn0267203)	1220	FBgn0267203	FBgn0267203	FBtr0346358						NA
ManzF6HSan_REP3.mLb.clN_peak_14472	chrX	4426704	4427194	+	301	NA	promoter-TSS (FBgn0000179)	-promoter-TSS (FBgn0000179)	13487	FBgn0000179	FBgn0000179	FBtr0331162						NA
ManzF6HSan_REP3.mLb.clN_peak_13262	chr3R	31713079	31714082	+	298	NA	promoter-TSS (FBgn0003870)	-promoter-TSS (FBgn0003870)	4305	FBgn0054046	FBgn0054046	FBtr0308935						NA
ManzF6HSan_REP3.mLb.clN_peak_4501	chr2R	12996201	12997589	+	293	NA	promoter-TSS (FBgn0265623)	-promoter-TSS (FBgn0265623)	394	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6HSan_REP3.mLb.clN_peak_17146	chrX	23455591	23456071	+	292	NA	Intergenic	Intergenic	164131	FBgn0267524	FBgn0267524	FBtr0346898						NA
ManzF6HSan_REP3.mLb.clN_peak_6508	chr2R	24767632	24768554	+	286	NA	promoter-TSS (FBgn0027590)	-promoter-TSS (FBgn0027590)	-386	FBgn0027590	FBgn0027590	FBtr0072436						NA
ManzF6HSan_REP3.mLb.clN_peak_1459	chr2L	11970837	11971431	+	286	NA	promoter-TSS (FBgn0263019)	-promoter-TSS (FBgn0263019)	-40	FBgn0263019	FBgn0263019	FBtr0306899						NA
ManzF6HSan_REP3.mLb.clN_peak_13258	chr3R	31688581	31689893	+	280	NA	promoter-TSS (FBgn0267124)	-promoter-TSS (FBgn0267124)	641	FBgn0267125	FBgn0267125	FBtr0346220						NA
ManzF6HSan_REP3.mLb.clN_peak_430	chr2L	3580599	3581146	+	278	NA	promoter-TSS (FBgn0004892)	-promoter-TSS (FBgn0004892)	-103	FBgn0004892	FBgn0004892	FBtr0077558						NA
ManzF6HSan_REP3.mLb.clN_peak_6338	chr2R	23839814	23840394	+	278	NA	promoter-TSS (FBgn0086659)	-promoter-TSS (FBgn0086659)	-40	FBgn0086659	FBgn0086659	FBtr0091917						NA
ManzF6HSan_REP3.mLb.clN_peak_10341	chr3R	7967794	7968186	+	277	NA	promoter-TSS (FBgn0000504)	-promoter-TSS (FBgn0000504)	-582	FBgn0000504	FBgn0000504	FBtr0339710						NA
ManzF6HSan_REP3.mLb.clN_peak_11757	chr3R	19836704	19837082	+	276	NA	promoter-TSS (FBgn0014135)	-promoter-TSS (FBgn0014135)	-76	FBgn0014135	FBgn0014135	FBtr0344549						NA
ManzF6HSan_REP3.mLb.clN_peak_3454	chr2R	8326869	8327749	+	270	NA	promoter-TSS (FBgn0261588)	-promoter-TSS (FBgn0261588)	-181	FBgn0261588	FBgn0261588	FBtr0339350						NA
ManzF6HSan_REP3.mLb.clN_peak_4507	chr2R	13014428	13016189	+	270	NA	Intergenic	Intergenic	18807	FBgn0265623	FBgn0265623	FBtr0330613						NA
ManzF6HSan_REP3.mLb.clN_peak_12602	chr3R	26041639	26043359	+	269	NA	promoter-TSS (FBgn0001139)	-promoter-TSS (FBgn0001139)	763	FBgn0001139	FBgn0001139	FBtr0339900						NA
