target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3325.46	0	0
FBtr0307554	3546	3334.46	14.9543	0.151053
FBtr0307555	4528	4316.46	6.04566	0.0471739
FBtr0070002	1226	1014.46	0	0
FBtr0070003	1164	952.456	0	0
FBtr0301569	2929	2717.46	0	0
FBtr0343166	3140	2928.46	0	0
FBtr0070029	1164	952.456	0	0
FBtr0301572	466	257.802	2	0.261294
FBtr0070032	981	769.456	0	0
FBtr0070035	1129	917.456	0	0
FBtr0070036	611	399.84	52	4.38029
FBtr0070045	2227	2015.46	1943	32.4702
FBtr0070046	2844	2632.46	1920	24.5655
FBtr0299869	778	566.456	72136.8	4289.2
FBtr0299870	789	577.456	18970.1	1106.46
FBtr0333910	1224	1012.46	640.163	21.2961
FBtr0070063	6538	6326.46	9077.79	48.3287
FBtr0332992	7235	7023.46	292.211	1.4013
FBtr0070064	2054	1842.46	3148.38	57.554
FBtr0070065	2110	1898.46	813.624	14.4347
FBtr0070066	3352	3140.46	0	0
FBtr0070067	3376	3164.46	0	0
FBtr0070068	3402	3190.46	91.656	0.967596
FBtr0342962	4130	3918.46	4.34397	0.0373386
FBtr0344149	3428	3216.46	0	0
FBtr0070069	1055	843.456	1	0.0399322
FBtr0070070	1188	976.456	0	0
FBtr0070071	2038	1826.46	2	0.0368813
FBtr0070072	917	705.456	0	0
FBtr0070073	1438	1226.46	0	0
FBtr0070074	1097	885.456	0	0
FBtr0070075	2430	2218.46	0	0
FBtr0070076	743	531.456	19.4413	1.23209
FBtr0112947	812	600.456	1232.56	69.1373
FBtr0070077	532	321.865	12.8974	1.34963
FBtr0336919	837	625.456	72.1067	3.88297
FBtr0300328	580	369.183	5.23653	0.477735
FBtr0070078	517	307.085	40.8722	4.48285
FBtr0336920	787	575.456	37.8872	2.21751
FBtr0336921	526	315.992	0	0
FBtr0343501	627	415.676	0	0
FBtr0070079	2345	2133.46	1035	16.3396
FBtr0070080	1119	907.456	1	0.0371159
FBtr0340145	1344	1132.46	0	0
FBtr0070088	1243	1031.46	19.4967	0.636645
FBtr0070092	1950	1738.46	6806.23	131.865
FBtr0070093	2123	1911.46	267.773	4.71833
FBtr0070094	4342	4130.46	4343	35.4142
FBtr0070099	2279	2067.46	1013	16.5028
FBtr0070100	1310	1098.46	0	0
FBtr0070101	1805	1593.46	228.381	4.82731
FBtr0070102	1821	1609.46	0	0
FBtr0273442	1711	1499.46	42.0996	0.945649
FBtr0273443	1603	1391.46	0	0
FBtr0344150	1730	1518.46	38.5357	0.854766
FBtr0344151	1834	1622.46	114.984	2.38699
FBtr0070103	1492	1280.46	7.32251	0.192611
FBtr0300326	4823	4611.46	22.1505	0.161782
