target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3327.52	0	0
FBtr0307554	3546	3336.52	38.7414	0.343721
FBtr0307555	4528	4318.52	24.2586	0.166286
FBtr0070002	1226	1016.52	0	0
FBtr0070003	1164	954.52	0.5	0.0155063
FBtr0301569	2929	2719.52	1	0.0108851
FBtr0343166	3140	2930.52	0	0
FBtr0070029	1164	954.52	0.5	0.0155063
FBtr0301572	466	259.432	0	0
FBtr0070032	981	771.52	0	0
FBtr0070035	1129	919.52	0	0
FBtr0070036	611	402.022	56	4.12347
FBtr0070045	2227	2017.52	3306	48.5076
FBtr0070046	2844	2634.52	2773	31.1582
FBtr0299869	778	568.52	86457.1	4501.73
FBtr0299870	789	579.52	22796	1164.43
FBtr0333910	1224	1014.52	727.907	21.2393
FBtr0070063	6538	6328.52	10591.2	49.5415
FBtr0332992	7235	7025.52	622.76	2.62402
FBtr0070064	2054	1844.52	4089.66	65.6339
FBtr0070065	2110	1900.52	503.168	7.83727
FBtr0070066	3352	3142.52	0	0
FBtr0070067	3376	3166.52	0	0
FBtr0070068	3402	3192.52	69.4721	0.644171
FBtr0342962	4130	3920.52	4.52788	0.0341882
FBtr0344149	3428	3218.52	0	0
FBtr0070069	1055	845.52	0	0
FBtr0070070	1188	978.52	0	0
FBtr0070071	2038	1828.52	1	0.0161892
FBtr0070072	917	707.52	0	0
FBtr0070073	1438	1228.52	0	0
FBtr0070074	1097	887.52	0	0
FBtr0070075	2430	2220.52	1	0.0133312
FBtr0070076	743	533.52	35.6334	1.97711
FBtr0112947	812	602.52	1267.37	62.2666
FBtr0070077	532	323.712	37.2327	3.40479
FBtr0336919	837	627.52	90.0044	4.24581
FBtr0300328	580	371.294	2.48059	0.19777
FBtr0070078	517	308.932	64.3401	6.16514
FBtr0336920	787	577.52	24.9514	1.27895
FBtr0336921	526	317.744	19.9909	1.86242
FBtr0343501	627	417.981	0	0
FBtr0070079	2345	2135.52	1244	17.2441
FBtr0070080	1119	909.52	0	0
FBtr0340145	1344	1134.52	6	0.156554
FBtr0070088	1243	1033.52	19.886	0.569577
FBtr0070092	1950	1740.52	8014.09	136.301
FBtr0070093	2123	1913.52	262.912	4.06726
FBtr0070094	4342	4132.52	5436	38.9394
FBtr0070099	2279	2069.52	2079	29.7378
FBtr0070100	1310	1100.52	4	0.107594
FBtr0070101	1805	1595.52	209.953	3.89533
FBtr0070102	1821	1611.52	1.22111e-05	2.24308e-07
FBtr0273442	1711	1501.52	62.5611	1.23338
FBtr0273443	1603	1393.52	0	0
FBtr0344150	1730	1520.52	0	0
FBtr0344151	1834	1624.52	145.486	2.65106
FBtr0070103	1492	1282.52	14.6096	0.33721
FBtr0300326	4823	4613.52	19.3904	0.124416
FBtr0342963	1675	1465.52	0	0
FBtr0070107	1630	1420.52	75.0327	1.56361
FBtr0070108	1731	1521.52	1285.75	25.0151
FBtr0340207	1751	1541.52	19.2219	0.369123
FBtr0070109	5422	5212.52	32.3066	0.183471
FBtr0307291	6331	6121.52	0	0
FBtr0307292	5251	5041.52	0	0
FBtr0307293	5425	5215.52	48.2906	0.274088
FBtr0307294	6324	6114.52	51.7524	0.250549
FBtr0307295	5425	5215.52	71.6505	0.406673
FBtr0070115	1175	965.52	1760	53.9605
FBtr0070116	2256	2046.52	1661.3	24.0302
FBtr0070117	2199	1989.52	30.9725	0.460842
FBtr0070118	2197	1987.52	409.727	6.1025
FBtr0070119	3680	3470.52	4386	37.4109
FBtr0070120	4901	4691.52	2856.46	18.0235
FBtr0340081	4889	4679.52	82.7273	0.523325
FBtr0340082	4657	4447.52	351.812	2.34162
FBtr0070121	1550	1340.52	1486	32.8148
FBtr0308651	1229	1019.52	178.839	5.19268
FBtr0070122	696	486.672	4820.3	293.199
FBtr0343564	1145	935.52	304.856	9.64641
FBtr0070134	1236	1026.52	152.345	4.39325
FBtr0343759	1362	1152.52	22.0665	0.566773
FBtr0070135	2124	1914.52	983.377	15.2049
FBtr0070136	2103	1893.52	515.893	8.06518
FBtr0070137	2193	1983.52	158.73	2.3689
FBtr0070138	2249	2039.52	259.963	3.77318
FBtr0112928	2304	2094.52	0	0
FBtr0345511	3250	3040.52	3.03748	0.0295727
FBtr0479789	3208	2998.52	2566.18	25.3341
FBtr0479790	3915	3705.52	256.818	2.05164
FBtr0070142	475	268.114	0	0
FBtr0290198	1427	1217.52	5	0.121568
FBtr0070145	1802	1592.52	5	0.0929415
FBtr0070146	3619	3409.52	7866	68.2944
FBtr0070147	1603	1393.52	14	0.297399
FBtr0070148	1100	890.52	75780	2519.04
FBtr0070149	1565	1355.52	8	0.174706
FBtr0070150	1686	1476.52	11.7797	0.236168
FBtr0070151	6137	5927.52	7570.54	37.8075
FBtr0308652	5149	4939.52	1573.46	9.42965
FBtr0070155	568	359.441	43051.1	3545.53
FBtr0070156	555	346.547	3091.8	264.103
FBtr0070157	535	326.647	245.301	22.2303
FBtr0070158	592	383.218	481.63	37.2042
FBtr0345321	493	285.5	11476.1	1189.91
FBtr0070159	387	185.688	3425	546.012
FBtr0070160	499	291.356	494	50.1912
FBtr0070161	4310	4100.52	3370.09	24.3292
FBtr0110791	4398	4188.52	6.38203e-05	4.51048e-07
FBtr0339430	4725	4515.52	494.485	3.24168
FBtr0339431	4307	4097.52	468.57	3.38515
FBtr0339432	4391	4181.52	4661.01	32.9967
FBtr0339433	4448	4238.52	278.554	1.94544
FBtr0339434	3741	3531.52	787.292	6.59931
FBtr0110804	516	308.025	0	0
FBtr0070163	881	671.52	0	0
FBtr0070164	634	424.939	2	0.139325
FBtr0310165	645	435.765	0	0
FBtr0070165	602	393.101	1366	102.866
FBtr0307181	2880	2670.52	24.0061	0.266103
FBtr0345512	3540	3330.52	5.04624	0.0448519
FBtr0070167	2100	1890.52	251.829	3.94321
FBtr0070168	1777	1567.52	960.414	18.1372
FBtr0070169	1896	1686.52	282.65	4.96114
FBtr0307182	1623	1413.52	2783.84	58.2997
FBtr0332589	1656	1446.52	236.27	4.83514
FBtr0070170	2155	1945.52	1846.15	28.0903
FBtr0070171	667	457.765	1	0.0646668
FBtr0070172	590	381.256	0	0
FBtr0070173	1412	1202.52	1362	33.5281
FBtr0070179	1107	897.52	170	5.60698
FBtr0070180	489	281.672	0	0
FBtr0070181	4766	4556.52	3.27976	0.0213075
