PeakID (cmd=annotatePeaks.pl AkaaF6HSan_REP3.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6HSan_REP3.mLb.clN_peak_16476	chrX	23262163	23262649	+	6218	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	260	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP3.mLb.clN_peak_16475	chrX	23253150	23253786	+	5591	NA	Intergenic	Intergenic	9198	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6HSan_REP3.mLb.clN_peak_16474	chrX	23239608	23240664	+	5221	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	418	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6HSan_REP3.mLb.clN_peak_16498	chrX	23535040	23535809	+	3977	NA	Intergenic	Intergenic	243724	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_16494	chrX	23472221	23473471	+	3070	NA	Intergenic	Intergenic	181146	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_16491	chrX	23430876	23433740	+	2650	NA	Intergenic	Intergenic	140608	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_16467	chrX	23212057	23213079	+	2635	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1321	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6HSan_REP3.mLb.clN_peak_16469	chrX	23215738	23217202	+	2634	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2018	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP3.mLb.clN_peak_16481	chrX	23282410	23284154	+	1994	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-351	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6HSan_REP3.mLb.clN_peak_16465	chrX	23205198	23206524	+	1770	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	39	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF6HSan_REP3.mLb.clN_peak_16477	chrX	23270806	23271604	+	1753	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-47	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6HSan_REP3.mLb.clN_peak_16482	chrX	23291071	23292006	+	1377	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-11	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF6HSan_REP3.mLb.clN_peak_16499	chrX	23537063	23538427	+	1210	NA	Intergenic	Intergenic	246045	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_16479	chrX	23278010	23280478	+	1141	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	766	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6HSan_REP3.mLb.clN_peak_16388	chrX	22433014	22433195	+	1060	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP3.mLb.clN_peak_16492	chrX	23438818	23442080	+	975	NA	Intergenic	Intergenic	148749	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6HSan_REP3.mLb.clN_peak_16385	chrX	22382876	22383853	+	865	NA	Intergenic	Intergenic	-60863	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP3.mLb.clN_peak_9320	chr3L	27126141	27127605	+	860	NA	Intergenic	Intergenic	-8311	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6HSan_REP3.mLb.clN_peak_13361	chr4	1288303	1289093	+	822	NA	Intergenic	Intergenic	57861	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6HSan_REP3.mLb.clN_peak_16480	chrX	23281051	23281369	+	526	NA	promoter-TSS (FBgn0250731)	-promoter-TSS (FBgn0250731)	-933	FBgn0250731	FBgn0250731	FBtr0346901						NA
AkaaF6HSan_REP3.mLb.clN_peak_1840	chr2L	16525894	16526541	+	518	NA	intron (FBgn0032587, intron 2 of 2)	-intron (FBgn0032587, intron 2 of 2)	2705	FBgn0086038	FBgn0086038	FBtr0114314						NA
AkaaF6HSan_REP3.mLb.clN_peak_16468	chrX	23214299	23215003	+	516	NA	TTS (FBgn0267517)	-TTS (FBgn0267517)	199	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6HSan_REP3.mLb.clN_peak_16382	chrX	22354413	22354747	+	511	NA	Intergenic	Intergenic	-89647	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6HSan_REP3.mLb.clN_peak_2675	chr2R	3140713	3141056	+	468	NA	intron (FBgn0260995, intron 4 of 6)	-intron (FBgn0260995, intron 4 of 6)	74385	FBgn0260995	FBgn0260995	FBtr0334939						NA
