#id: 'mlib_peak_annotation'
#section_name: 'MERGED LIB: HOMER peak annotation'
#description: "is generated by calculating the proportion of peaks assigned to genomic features by
#              <a href='http://homer.ucsd.edu/homer/ngs/annotation.html' target='_blank'>HOMER annotatePeaks.pl</a>."
#plot_type: 'bargraph'
#anchor: 'mlib_peak_annotation'
#pconfig:
#    title: 'Peak to feature proportion'
#    ylab: 'Peak count'
sample	Intergenic	TTS	exon	intron	promoter-TSS
AkaaF3Ctrl_REP1	1917	1535	2873	4195	5709
AkaaF3Ctrl_REP2	2138	1659	3812	4616	5902
AkaaF3Ctrl_REP3	2196	1735	3529	4416	5893
AkaaF3Heat_REP1	1948	1146	2575	3528	4491
AkaaF3Heat_REP2	1633	1024	1873	3313	4606
AkaaF3Heat_REP3	1962	1155	2516	3582	4793
AkaaF6Ctrl_REP1	1557	1665	3270	4005	5321
AkaaF6Ctrl_REP2	1800	1740	3495	4294	5679
AkaaF6Ctrl_REP3	1811	1830	3528	4432	5612
AkaaF6HSan_REP1	1491	1404	2207	3625	5312
AkaaF6HSan_REP2	1619	1731	3497	4130	5526
AkaaF6HSan_REP3	1701	1769	3613	3956	5460
ManzF3Ctrl_REP1	2092	1987	6240	4587	5113
ManzF3Ctrl_REP2	2447	2155	6718	5127	5459
ManzF3Ctrl_REP3	2477	2246	6642	5274	5636
ManzF3Heat_REP1	1481	1030	2038	3090	4483
ManzF3Heat_REP2	1595	953	1995	2997	3986
ManzF3Heat_REP3	1162	728	1664	2240	3511
ManzF6Ctrl_REP1	1376	1710	3966	3598	5225
ManzF6Ctrl_REP2	1924	2106	4793	4694	5651
ManzF6Ctrl_REP3	2176	2304	5687	5121	5999
ManzF6HSan_REP1	1741	1987	4541	4573	5613
ManzF6HSan_REP2	1339	1732	4250	3649	5258
ManzF6HSan_REP3	1623	1846	4320	3949	5414
