PeakID (cmd=annotatePeaks.pl AkaaF3Heat_REP2.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF3Heat_REP2.mLb.clN_peak_12408	chrX	23253178	23253781	+	3172	NA	Intergenic	Intergenic	9187	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP2.mLb.clN_peak_12264	chrX	22433013	22433195	+	2319	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF3Heat_REP2.mLb.clN_peak_12418	chrX	23327304	23327723	+	1608	NA	Intergenic	Intergenic	35813	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12409	chrX	23262215	23262645	+	1432	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	236	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF3Heat_REP2.mLb.clN_peak_12438	chrX	23430872	23432187	+	1206	NA	Intergenic	Intergenic	139829	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12407	chrX	23239610	23240607	+	856	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	390	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF3Heat_REP2.mLb.clN_peak_12399	chrX	23212124	23213055	+	825	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1300	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF3Heat_REP2.mLb.clN_peak_12448	chrX	23534959	23535756	+	807	NA	Intergenic	Intergenic	243657	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12415	chrX	23282438	23284157	+	789	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-366	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF3Heat_REP2.mLb.clN_peak_12439	chrX	23432803	23433720	+	632	NA	Intergenic	Intergenic	141561	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12400	chrX	23215744	23217171	+	629	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2005	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF3Heat_REP2.mLb.clN_peak_12443	chrX	23472335	23473471	+	558	NA	Intergenic	Intergenic	181203	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF3Heat_REP2.mLb.clN_peak_12410	chrX	23270862	23271430	+	517	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	12	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF3Heat_REP2.mLb.clN_peak_12255	chrX	21939540	21939680	+	514	NA	Intergenic	Intergenic	-203448	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF3Heat_REP2.mLb.clN_peak_12397	chrX	23205289	23206523	+	462	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	84	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF3Heat_REP2.mLb.clN_peak_2060	chr2R	870288	870591	+	456	NA	Intergenic	Intergenic	15625	FBgn0284080	FBgn0284080	FBtr0452096						NA
AkaaF3Heat_REP2.mLb.clN_peak_12261	chrX	22382688	22383859	+	437	NA	Intergenic	Intergenic	-60954	FBgn0031183	FBgn0031183	FBtr0339557						NA
