"V6"	"V1"	"V2.x"	"V3.x"	"V4"	"V8"	"V2.y"	"insertion"	"V3.y"	"RNAseq.log2FoldChange.x.x"	"F3A_DE"	"atac.log2FoldChange.x.x"	"F3A_DA"	"RNAseq.log2FoldChange.x.y"	"F3M_DE"	"atac.log2FoldChange.x.y"	"F3M_DA"	"V5"
"1"	"doc"	"chr3l"	15510655	15510889	"denovo"	"FBgn0000565"	"MsrA"	"upstream_sprt"	"+"	0.28694859089218	"Unique"	-0.171659231157847	"Not_DA"	0.222328583742199	"Not_DE"	0.0683591881462391	"Not_DA"	"F3_P1_nonref_321"
"2"	"ielement"	"chr3r"	9714465	9714617	"denovo"	"FBgn0002431"	"hyd"	"downstream_sprt"	"-"	0.417255010965554	"Shared"	0.18359804341304	"Not_DA"	0.744681433936469	"Shared"	0.0627813712522698	"Not_DA"	"F3_P1_nonref_379"
"3"	"297"	"chr3l"	6215908	6216109	"denovo"	"FBgn0002526"	"LanA"	"intronic"	"-"	-0.136149786933958	"Unique"	-0.16397860455378	"Not_DA"	0.247180126800812	"Not_DE"	-0.140298522411118	"Not_DA"	"F3_P1_nonref_266"
"4"	"felement"	"chr3r"	12704958	12705037	"denovo"	"FBgn0002905"	"PolQ"	"downstream_sprt"	"-"	0.432335287412247	"Shared"	0.0424669808520517	"Not_DA"	0.697921174982369	"Shared"	0.0929069521581291	"Not_DA"	"F3_P1_nonref_412"
"5"	"h"	"chr2l"	9464505	9464659	"denovo"	"FBgn0002973"	"numb"	"downstream_sprt"	"+"	0.400155688888983	"Shared"	-0.0881877493926952	"Not_DA"	0.479497528758723	"Shared"	-0.0864722168119959	"Not_DA"	"F3_P1_nonref_033"
"6"	"jockey"	"chr2l"	9453344	9453434	"denovo"	"FBgn0002973"	"numb"	"intronic"	"+"	0.400155688888983	"Shared"	-0.0881877493926952	"Not_DA"	0.479497528758723	"Shared"	-0.0864722168119959	"Not_DA"	"F3_P1_nonref_032"
"7"	"transpac"	"chrx"	11082651	11082878	"denovo"	"FBgn0003366"	"sev"	"intronic"	"-"	-0.25658420891074	"Unique"	-0.0504446601038904	"Not_DA"	-0.364995768327888	"Not_DE"	-0.18710837970016	"Not_DA"	"F3_P1_nonref_601"
"8"	"jockey"	"chr3r"	27968219	27968298	"denovo"	"FBgn0003890"	"betaTub97EF"	"intronic"	"-"	-0.368542248857075	"Unique"	-0.14099325300133	"Not_DA"	-0.209709710154181	"Not_DE"	0.370734079175905	"Not_DA"	"F3_P1_nonref_517"
"9"	"bs"	"chr3r"	23275489	23275586	"denovo"	"FBgn0004882"	"orb"	"intronic"	"-"	-1.09753005644631	"Shared"	0.197631546158943	"Not_DA"	-0.618415659433675	"Shared"	0.103536275990973	"Not_DA"	"F3_P1_nonref_493"
"10"	"roo"	"chr3r"	23271222	23271428	"denovo"	"FBgn0004882"	"orb"	"intronic"	"-"	-1.09753005644631	"Shared"	0.197631546158943	"Not_DA"	-0.618415659433675	"Shared"	0.103536275990973	"Not_DA"	"F3_P1_nonref_492"
"11"	"tirant"	"chr2r"	12979491	12979502	"denovo"	"FBgn0005624"	"Psc"	"intronic"	"-"	0.618547676235309	"Shared"	-0.277310696286926	"Not_DA"	0.718810918272544	"Shared"	-0.0893965064145593	"Not_DA"	"F3_P1_nonref_153"
"12"	"pelement"	"chr2r"	17097508	17097629	"denovo"	"FBgn0010226"	"GstS1"	"intronic"	"-"	-0.16823509721688	"Unique"	-0.206780680939745	"Not_DA"	-0.0230998013023271	"Not_DE"	-0.163958717437682	"Not_DA"	"F3_P1_nonref_185"
"13"	"roo"	"chr3r"	13653876	13653953	"denovo"	"FBgn0010258"	"Rbp4"	"downstream_sprt"	"-"	0.0757205382380656	"Not_DE"	-0.48792519339189	"Shared"	-0.0160420177828016	"Not_DE"	-0.652722799777477	"Shared"	"F3_P1_nonref_420"
"14"	"jockey"	"chr3l"	7130748	7130903	"denovo"	"FBgn0010387"	"Acbp2"	"upstream_sprt"	"+"	-1.36260167888608	"Unique"	0.184809713192514	"Not_DA"	-0.398221254063364	"Not_DE"	0.193601543338675	"Not_DA"	"F3_P1_nonref_271"
"15"	"jockey"	"chr3l"	8031728	8031774	"denovo"	"FBgn0011817"	"nmo"	"intronic"	"+"	0.427665779871608	"Shared"	-0.0387200019985551	"Not_DA"	0.507332513346779	"Shared"	0.168206700803236	"Not_DA"	"F3_P1_nonref_279"
"16"	"h"	"chr3l"	16408103	16408199	"denovo"	"FBgn0014163"	"fax"	"intronic"	"-"	-0.180457350662784	"Unique"	-0.166795375055209	"Not_DA"	0.00387568231244879	"Not_DE"	-0.0979988636411945	"Not_DA"	"F3_P1_nonref_329"
"17"	"roo"	"chr3l"	3425597	3425602	"denovo"	"FBgn0014388"	"sty"	"upstream_sprt"	"-"	-0.358733757511528	"Unique"	-0.588198623770916	"Unique"	-0.0732182911653436	"Not_DE"	0.044448254715977	"Not_DA"	"F3_P1_nonref_250"
"18"	"h"	"chr2r"	15116533	15116686	"denovo"	"FBgn0015371"	"chn"	"intronic"	"+"	0.223879218278684	"Unique"	0.0249358516397304	"Not_DA"	0.385948486114324	"Not_DE"	-0.0678660984991404	"Not_DA"	"F3_P1_nonref_172"
"19"	"pelement"	"chr2l"	12822732	12822935	"denovo"	"FBgn0015399"	"kek1"	"upstream_ovlp"	"-"	-1.17355726176349	"Shared"	0.0695542547910182	"Not_DA"	-0.901610017361256	"Shared"	0.400614074775983	"Unique"	"F3_P1_nonref_052"
"20"	"bs"	"chr3r"	7522302	7522461	"denovo"	"FBgn0015575"	"alpha-Est7"	"intronic"	"-"	-0.795384681073373	"Unique"	0.528984999958895	"Shared"	-0.356219248417439	"Not_DE"	0.683388674438152	"Shared"	"F3_P1_nonref_360"
"21"	"roo"	"chr3r"	13653876	13653953	"denovo"	"FBgn0015778"	"rin"	"intronic"	"+"	-0.663536479595039	"Unique"	-0.236053520081525	"Not_DA"	-0.435565719449312	"Not_DE"	-0.268232650065855	"Not_DA"	"F3_P1_nonref_420"
"22"	"felement"	"chr3r"	12704958	12705037	"denovo"	"FBgn0016693"	"Past1"	"downstream_sprt"	"+"	-0.367877155367301	"Shared"	0.151787170757381	"Not_DA"	-0.319480013696164	"Shared"	0.129377428144077	"Not_DA"	"F3_P1_nonref_412"
"23"	"bs"	"chr2l"	833155	833322	"denovo"	"FBgn0020304"	"drongo"	"downstream_sprt"	"-"	-0.204410403432745	"Unique"	0.130602494610533	"Not_DA"	-0.112811807298034	"Not_DE"	0.365852663681611	"Unique"	"F3_P1_nonref_001"
"24"	"burdock"	"chr2r"	9277304	9277308	"denovo"	"FBgn0020621"	"Pkn"	"intronic"	"-"	0.372684736188078	"Shared"	-0.00712474130071749	"Not_DA"	0.513534004107843	"Shared"	-0.0308449737834565	"Not_DA"	"F3_P1_nonref_128"
