"V6"	"V1"	"V2.x"	"V3.x"	"V4"	"V8"	"V2.y"	"insertion"	"V3.y"	"RNAseq.log2FoldChange.x.x"	"F3M_DE"	"atac.log2FoldChange.x.x"	"F3M_DA"	"RNAseq.log2FoldChange.x.y"	"F3A_DE"	"atac.log2FoldChange.x.y"	"F3A_DA"	"V5"
"1"	"jockey"	"chr2r"	24388803	24388893	"denovo"	"FBgn0000037"	"mAChR-A"	"intronic"	"-"	-0.849018151676887	"Not_DE"	-0.357116024659483	"Unique"	-0.56210120070849	"Not_DE"	-0.0818174709563021	"Not_DA"	"F3_P2_nonref_194"
"2"	"mdg3"	"chr3r"	26253172	26253258	"denovo"	"FBgn0000064"	"Ald1"	"downstream_sprt"	"-"	-0.337697095154342	"Shared"	0.17956757787188	"Not_DA"	-0.367863645055613	"Shared"	0.208116164213857	"Not_DA"	"F3_P2_nonref_447"
"3"	"297"	"chr2r"	13460764	13460793	"denovo"	"FBgn0000119"	"arr"	"intronic"	"-"	1.31966489503631	"Shared"	0.298593242295987	"Not_DA"	1.01020442315651	"Shared"	0.103745596483731	"Not_DA"	"F3_P2_nonref_142"
"4"	"felement"	"chr2l"	18381152	18381229	"denovo"	"FBgn0000636"	"Fas3"	"intronic"	"+"	-0.282275282022964	"Not_DE"	0.448926919773455	"Unique"	-0.399131677676693	"Unique"	0.246977520115889	"Not_DA"	"F3_P2_nonref_092"
"5"	"transpac"	"chr3l"	14334155	14334257	"denovo"	"FBgn0001085"	"fz"	"intronic"	"+"	0.0591992451385056	"Not_DE"	0.388755539024116	"Shared"	-0.108169580633925	"Not_DE"	0.314754156797318	"Shared"	"F3_P2_nonref_274"
"6"	"quasimodo"	"chr3l"	14327071	14327150	"denovo"	"FBgn0001085"	"fz"	"intronic"	"+"	0.0591992451385056	"Not_DE"	0.388755539024116	"Shared"	-0.108169580633925	"Not_DE"	0.314754156797318	"Shared"	"F3_P2_nonref_273"
"7"	"h"	"chr2r"	22515148	22515335	"denovo"	"FBgn0003175"	"px"	"intronic"	"-"	0.506334531727869	"Shared"	-0.0456149557205049	"Not_DA"	0.376826094038715	"Shared"	0.0414588956529621	"Not_DA"	"F3_P2_nonref_184"
"8"	"ielement"	"chrx"	2969857	2969955	"denovo"	"FBgn0003285"	"rst"	"intronic"	"-"	0.0190117413332062	"Not_DE"	0.720868370272313	"Shared"	-0.114861187638843	"Not_DE"	0.559958561779335	"Shared"	"F3_P2_nonref_495"
"9"	"ielement"	"chrx"	2956861	2956875	"denovo"	"FBgn0003285"	"rst"	"intronic"	"-"	0.0190117413332062	"Not_DE"	0.720868370272313	"Shared"	-0.114861187638843	"Not_DE"	0.559958561779335	"Shared"	"F3_P2_nonref_494"
"10"	"roo"	"chrx"	10832321	10832414	"denovo"	"FBgn0003321"	"sbr"	"downstream_sprt"	"-"	0.406020224394883	"Shared"	-0.00368861626947957	"Not_DA"	0.468786424305606	"Shared"	0.0338314163590227	"Not_DA"	"F3_P2_nonref_541"
"11"	"jockey"	"chr3r"	24687391	24687607	"denovo"	"FBgn0003429"	"slo"	"intronic"	"+"	1.170347033344	"Unique"	-0.388540111429912	"Not_DA"	0.406775757259718	"Not_DE"	-0.0270927021676772	"Not_DA"	"F3_P2_nonref_435"
