PeakID (cmd=annotatePeaks.pl AkaaF6Ctrl_REP1.mLb.clN_peaks.broadPeak Dmel_FB_r6_v46_chr_andMt.fasta -gid -gtf Dmel_FB_r6_v46_chr_andMt.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
AkaaF6Ctrl_REP1.mLb.clN_peak_15792	chrX	23253159	23253786	+	5957	NA	Intergenic	Intergenic	9194	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15793	chrX	23262176	23262646	+	4941	NA	exon (FBgn0085819, exon 1 of 1)	-exon (FBgn0085819, exon 1 of 1)	255	FBgn0085819	FBgn0085819	FBtr0346904						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15791	chrX	23239598	23240653	+	3991	NA	exon (FBgn0085771, exon 1 of 1)	-exon (FBgn0085771, exon 1 of 1)	407	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15817	chrX	23534961	23535827	+	2913	NA	Intergenic	Intergenic	243694	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15813	chrX	23472331	23473471	+	2566	NA	Intergenic	Intergenic	181201	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15810	chrX	23430877	23433735	+	2354	NA	Intergenic	Intergenic	140606	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15786	chrX	23215738	23217202	+	2223	NA	exon (FBgn0267519, exon 1 of 1)	-exon (FBgn0267519, exon 1 of 1)	2018	FBgn0267519	FBgn0267519	FBtr0346895						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15784	chrX	23211994	23213090	+	2153	NA	exon (FBgn0085813, exon 1 of 1)	-exon (FBgn0085813, exon 1 of 1)	-1347	FBgn0267517	FBgn0267517	FBtr0346893						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15782	chrX	23205229	23206524	+	1686	NA	promoter-TSS (FBgn0267515)	-promoter-TSS (FBgn0267515)	54	FBgn0267515	FBgn0267515	FBtr0346891						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15797	chrX	23282412	23284153	+	1659	NA	promoter-TSS (FBgn0267521)	-promoter-TSS (FBgn0267521)	-351	FBgn0267521	FBgn0267521	FBtr0346900						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15794	chrX	23270822	23271618	+	1505	NA	promoter-TSS (FBgn0267520)	-promoter-TSS (FBgn0267520)	-62	FBgn0267520	FBgn0267520	FBtr0346903						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15679	chrX	21939349	21939681	+	1339	NA	Intergenic	Intergenic	-203543	FBgn0085521	FBgn0085521	FBtr0346695						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12673	chr4	1288242	1289093	+	1149	NA	Intergenic	Intergenic	57830	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15799	chrX	23327304	23327720	+	1120	NA	Intergenic	Intergenic	35812	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15818	chrX	23537132	23538423	+	1077	NA	Intergenic	Intergenic	246077	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15688	chrX	22433014	22433195	+	1069	NA	Intergenic	Intergenic	-11123	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15798	chrX	23291081	23292000	+	1024	NA	promoter-TSS (FBgn0267523)	-promoter-TSS (FBgn0267523)	-9	FBgn0267523	FBgn0267523	FBtr0346897						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_8845	chr3L	27126148	27127532	+	898	NA	Intergenic	Intergenic	-8344	FBgn0267985	FBgn0267985	FBtr0347582						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15677	chrX	21796902	21797148	+	855	NA	Intergenic	Intergenic	163589	FBgn0267704	FBgn0267704	FBtr0347227						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15811	chrX	23438796	23442078	+	832	NA	Intergenic	Intergenic	148737	FBgn0267524	FBgn0267524	FBtr0346898						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15796	chrX	23278010	23281364	+	802	NA	TTS (FBgn0250731)	-TTS (FBgn0250731)	323	FBgn0267522	FBgn0267522	FBtr0346902						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15686	chrX	22382687	22383861	+	720	NA	Intergenic	Intergenic	-60953	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_7017	chr3L	8724882	8726573	+	622	NA	promoter-TSS (FBgn0264696)	-promoter-TSS (FBgn0264696)	47	FBgn0264696	FBgn0264696	FBtr0333890						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_1506	chr2L	13060085	13060613	+	563	NA	promoter-TSS (FBgn0262160)	-promoter-TSS (FBgn0262160)	-209	FBgn0262160	FBgn0262160	FBtr0336617						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13591	chrX	5754636	5756212	+	493	NA	promoter-TSS (FBgn0029801)	-promoter-TSS (FBgn0029801)	-150	FBgn0029801	FBgn0029801	FBtr0345789						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_5173	chr2R	20111067	20111598	+	471	NA	promoter-TSS (FBgn0287775)	-promoter-TSS (FBgn0287775)	-179	FBgn0287775	FBgn0287775	FBtr0086309						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15788	chrX	23227039	23228782	+	441	NA	Intergenic	Intergenic	-11808	FBgn0085771	FBgn0085771	FBtr0346896						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12652	chr4	1198318	1199649	+	433	NA	exon (FBgn0263112, exon 1 of 9)	-exon (FBgn0263112, exon 1 of 9)	125	FBgn0263112	FBgn0263112	FBtr0307329						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_10485	chr3R	16242322	16242914	+	419	NA	promoter-TSS (FBgn0040071)	-promoter-TSS (FBgn0040071)	-198	FBgn0040071	FBgn0040071	FBtr0083258						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_15683	chrX	22354410	22354728	+	419	NA	Intergenic	Intergenic	-89658	FBgn0031183	FBgn0031183	FBtr0339557						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_8098	chr3L	18185607	18186486	+	416	NA	promoter-TSS (FBgn0003997)	-promoter-TSS (FBgn0003997)	-405	FBgn0003997	FBgn0003997	FBtr0332862						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_12670	chr4	1278638	1279441	+	411	NA	Intergenic	Intergenic	48202	FBgn0053653	FBgn0053653	FBtr0333702						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_14948	chrX	16216581	16217815	+	406	NA	promoter-TSS (FBgn0000459)	-promoter-TSS (FBgn0000459)	-452	FBgn0000459	FBgn0000459	FBtr0074250						NA
AkaaF6Ctrl_REP1.mLb.clN_peak_13928	chrX	8293992	8296032	+	404	NA	intron (FBgn0015519, intron 6 of 11)	-intron (FBgn0015519, intron 6 of 11)	-21206	FBgn0030029	FBgn0030029	FBtr0071178						NA
