"ensembl_gene_id"	"RNAseq.log2FoldChange.x.x"	"atac.log2FoldChange.x.x"	"z.atac.x.x"	"TE_pres.x"	"F3M_DE"	"F3M_DA"	"RNAseq.log2FoldChange.y.x"	"atac.log2FoldChange.y.x"	"F6M_DE"	"name.x"	"V1.x"	"V2.x"	"V3.x"	"V4.x"	"V5.x"	"RNAseq.log2FoldChange.x.y"	"atac.log2FoldChange.x.y"	"z.atac.x.y"	"TE_pres.y"	"F3A_DE"	"F3A_DA"	"RNAseq.log2FoldChange.y.y"	"atac.log2FoldChange.y.y"	"F6A_DE"	"name.y"	"V1.y"	"V2.y"	"V3.y"	"V4.y"	"V5.y"	"V2"	"V3"
"1"	"FBgn0001206"	0.955914391250082	-0.0769099326158684	-0.319475479122791	"R"	"Shared"	"Not_DA"	0.472726179423953	0.0404796651420708	"Unique"	"Hmr"	"chrx"	10589980	10590481	"reference"	"iso1_1615_lard"	0.825687802122729	-0.145706939367211	-0.639632037603257	"R"	"Shared"	"Not_DA"	-0.230561731192777	-0.0320293932694043	"Not_DE"	"Hmr"	"chrx"	10589980	10590481	"reference"	"iso1_1615_lard"	"Hmr"	"-"
"2"	"FBgn0002709"	0.363744178591843	-0.078998647097746	-0.124868186586295	"R"	"Shared"	"Not_DA"	0.351522193575885	-0.0446511017602999	"Unique"	"mei-218"	"chrx"	17137594	17137633	"reference"	"fbti0062285"	0.349474562673861	-0.199011542649654	-0.369766821445703	"R"	"Shared"	"Not_DA"	0.00864210776809858	0.0644782148403557	"Not_DE"	"mei-218"	"chrx"	17143816	17143910	"reference"	"fbti0062279"	"mei-218"	"-"
"3"	"FBgn0002709"	0.363744178591843	-0.078998647097746	-0.124868186586295	"R"	"Shared"	"Not_DA"	0.351522193575885	-0.0446511017602999	"Unique"	"mei-218"	"chrx"	17137594	17137633	"reference"	"fbti0062285"	0.349474562673861	-0.199011542649654	-0.369766821445703	"R"	"Shared"	"Not_DA"	0.00864210776809858	0.0644782148403557	"Not_DE"	"mei-218"	"chrx"	17137594	17137633	"reference"	"fbti0062285"	"mei-218"	"-"
"4"	"FBgn0002709"	0.363744178591843	-0.078998647097746	-0.124868186586295	"R"	"Shared"	"Not_DA"	0.351522193575885	-0.0446511017602999	"Unique"	"mei-218"	"chrx"	17143816	17143910	"reference"	"fbti0062279"	0.349474562673861	-0.199011542649654	-0.369766821445703	"R"	"Shared"	"Not_DA"	0.00864210776809858	0.0644782148403557	"Not_DE"	"mei-218"	"chrx"	17143816	17143910	"reference"	"fbti0062279"	"mei-218"	"-"
"5"	"FBgn0002709"	0.363744178591843	-0.078998647097746	-0.124868186586295	"R"	"Shared"	"Not_DA"	0.351522193575885	-0.0446511017602999	"Unique"	"mei-218"	"chrx"	17143816	17143910	"reference"	"fbti0062279"	0.349474562673861	-0.199011542649654	-0.369766821445703	"R"	"Shared"	"Not_DA"	0.00864210776809858	0.0644782148403557	"Not_DE"	"mei-218"	"chrx"	17137594	17137633	"reference"	"fbti0062285"	"mei-218"	"-"
"6"	"FBgn0003175"	0.506334531727869	-0.0456149557205049	-0.100364679941847	"D"	"Shared"	"Not_DA"	0.24603719103573	0.0589353284566973	"Unique"	"px"	"chr2r"	22515148	22515335	"denovo"	"F3_P2_nonref_184"	0.376826094038715	0.0414588956529621	0.0830601673978952	"0"	"Shared"	"Not_DA"	-0.135020569826116	-0.0788876184803743	"Not_DE"	"px"	NA	NA	NA	NA	NA	"px"	"-"
"7"	"FBgn0027500"	0.318749121401776	-0.318963906530764	-0.441800941898672	"R"	"Shared"	"Not_DA"	0.197009783963699	0.0174449962367833	"Unique"	"spd-2"	"chr3l"	16595824	16595938	"reference"	"iso1_897_kepler"	0.342784070485576	-0.167468779665761	-0.305202854433372	"0"	"Shared"	"Not_DA"	-0.102541935409513	0.0542712728754205	"Not_DE"	"spd-2"	NA	NA	NA	NA	NA	"spd-2"	"-"
"8"	"FBgn0029941"	0.376837847916412	0.0845157569166898	0.138397517351219	"R"	"Shared"	"Not_DA"	0.187222541796102	0.0920168052154524	"Unique"	"CG1677"	"chrx"	7393242	7393671	"reference"	"iso1_1488_lard"	0.201244385475291	-0.247542823133346	-0.264855024475068	"D"	"Shared"	"Not_DA"	-0.105651166286513	0.191588620386764	"Not_DE"	"CG1677"	"chrx"	7336188	7336330	"denovo"	"F3_P1_nonref_581"	"CG1677"	"-"
"9"	"FBgn0029941"	0.376837847916412	0.0845157569166898	0.138397517351219	"R"	"Shared"	"Not_DA"	0.187222541796102	0.0920168052154524	"Unique"	"CG1677"	"chrx"	7393242	7393671	"reference"	"iso1_1488_lard"	0.201244385475291	-0.247542823133346	-0.264855024475068	"D"	"Shared"	"Not_DA"	-0.105651166286513	0.191588620386764	"Not_DE"	"CG1677"	"chrx"	7393242	7393671	"reference"	"iso1_1488_lard"	"CG1677"	"-"
"10"	"FBgn0030418"	-0.250820154683508	0.860529369161387	-0.937916611437021	"R"	"Unique"	"Shared"	-0.453667048967629	-0.0143222804840031	"Unique"	"CG4004"	"chrx"	12746438	12746698	"reference"	"fbti0060433"	-0.210374537089334	0.646024441797178	-0.722563844481289	"R"	"Not_DE"	"Shared"	0.130585685149011	0.135785915421705	"Not_DE"	"CG4004"	"chrx"	12746438	12746698	"reference"	"fbti0060433"	"CG4004"	"+"
