target_id	length	eff_length	est_counts	tpm
FBtr0070000	3537	3331.35	0	0
FBtr0307554	3546	3340.35	23.138	0.194166
FBtr0307555	4528	4322.35	26.862	0.174204
FBtr0070002	1226	1020.35	0	0
FBtr0070003	1164	958.347	2	0.0584987
FBtr0301569	2929	2723.35	0	0
FBtr0343166	3140	2934.35	0	0
FBtr0070029	1164	958.347	0	0
FBtr0301572	466	264.208	1	0.106095
FBtr0070032	981	775.347	0	0
FBtr0070035	1129	923.347	0	0
FBtr0070036	611	405.675	86	5.94236
FBtr0070045	2227	2021.35	4637	64.3036
FBtr0070046	2844	2638.35	3448	36.6332
FBtr0299869	778	572.347	98516.9	4824.92
FBtr0299870	789	583.347	27010	1297.89
FBtr0333910	1224	1018.35	1153.06	31.7392
FBtr0070063	6538	6332.35	9872.03	43.7
FBtr0332992	7235	7029.35	772.965	3.08236
FBtr0070064	2054	1848.35	2949.78	44.7347
FBtr0070065	2110	1904.35	1654.73	24.3568
FBtr0070066	3352	3146.35	2.06895e-08	1.84325e-10
FBtr0070067	3376	3170.35	0	0
FBtr0070068	3402	3196.35	98	0.859431
FBtr0342962	4130	3924.35	0	0
FBtr0344149	3428	3222.35	0	0
FBtr0070069	1055	849.347	1	0.033003
FBtr0070070	1188	982.347	1	0.0285348
FBtr0070071	2038	1832.35	4	0.0611915
FBtr0070072	917	711.347	0	0
FBtr0070073	1438	1232.35	0	0
FBtr0070074	1097	891.347	2	0.0628959
FBtr0070075	2430	2224.35	0	0
FBtr0070076	743	537.401	43.1601	2.25125
FBtr0112947	812	606.347	1389.71	64.2454
FBtr0070077	532	328.024	24.4596	2.09017
FBtr0336919	837	631.347	58.2802	2.58757
FBtr0300328	580	375.184	0	0
FBtr0070078	517	313.381	27.5901	2.46785
FBtr0336920	787	581.347	56.7996	2.73873
FBtr0336921	526	322.285	0	0
FBtr0343501	627	421.634	0	0
FBtr0070079	2345	2139.35	1113	14.5832
FBtr0070080	1119	913.347	0	0
FBtr0340145	1344	1138.35	7	0.17237
FBtr0070088	1243	1037.35	27.7493	0.749839
FBtr0070092	1950	1744.35	8594.47	138.11
FBtr0070093	2123	1917.35	387.534	5.66563
FBtr0070094	4342	4136.35	5085	34.4598
FBtr0070099	2279	2073.35	2587	34.9755
FBtr0070100	1310	1104.35	0	0
FBtr0070101	1805	1599.35	188.708	3.3074
FBtr0070102	1821	1615.35	92.0575	1.59747
FBtr0273442	1711	1505.35	80.4483	1.49803
FBtr0273443	1603	1397.35	0	0
FBtr0344150	1730	1524.35	15.1739	0.279031
FBtr0344151	1834	1628.35	106.612	1.83526
FBtr0070103	1492	1286.35	15.435	0.336348
FBtr0300326	4823	4617.35	23.565	0.143058
FBtr0342963	1675	1469.35	0	0
FBtr0070107	1630	1424.35	162.069	3.1895
FBtr0070108	1731	1525.35	1197.39	22.0043
FBtr0340207	1751	1545.35	43.537	0.789718
FBtr0070109	5422	5216.35	19.8553	0.106696
FBtr0307291	6331	6125.35	34.5655	0.15818
FBtr0307292	5251	5045.35	0	0
FBtr0307293	5425	5219.35	73.6837	0.395726
FBtr0307294	6324	6118.35	0	0
FBtr0307295	5425	5219.35	0.8955	0.00480937
FBtr0070115	1175	969.347	1736	50.2007
FBtr0070116	2256	2050.35	1677.42	22.9327
FBtr0070117	2199	1993.35	26.2781	0.369531
FBtr0070118	2197	1991.35	405.298	5.70514
FBtr0070119	3680	3474.35	5056	40.7918
FBtr0070120	4901	4695.35	2753.52	16.4384
FBtr0340081	4889	4683.35	35.5425	0.212731
FBtr0340082	4657	4451.35	361.935	2.27918
FBtr0070121	1550	1344.35	1436	29.9421
FBtr0308651	1229	1023.35	118.206	3.23785
FBtr0070122	696	490.453	5319.89	304.05
FBtr0343564	1145	939.347	397.901	11.8738
FBtr0070134	1236	1030.35	158.398	4.30928
FBtr0343759	1362	1156.35	19.7554	0.47889
FBtr0070135	2124	1918.35	1089.13	15.9144
FBtr0070136	2103	1897.35	372.761	5.5071
FBtr0070137	2193	1987.35	163.11	2.30063
FBtr0070138	2249	2043.35	266.847	3.66066
FBtr0112928	2304	2098.35	5.15262	0.068832
FBtr0345511	3250	3044.35	0	0
FBtr0479789	3208	3002.35	2274.42	21.2349
FBtr0479790	3915	3709.35	267.577	2.02204
FBtr0070142	475	272.722	0	0
FBtr0290198	1427	1221.35	8	0.183607
FBtr0070145	1802	1596.35	5	0.0877974
FBtr0070146	3619	3413.35	7781	63.899
FBtr0070147	1603	1397.35	38	0.762287
FBtr0070148	1100	894.347	81671	2559.77
FBtr0070149	1565	1359.35	14	0.288693
FBtr0070150	1686	1480.35	17.3344	0.328235
FBtr0070151	6137	5931.35	6789.19	32.0851
FBtr0308652	5149	4943.35	1334.81	7.569
FBtr0070155	568	363.443	42917.9	3310.1
FBtr0070156	555	350.55	3652.45	292.062
FBtr0070157	535	330.925	353.603	29.952
FBtr0070158	592	387.031	434.568	31.4739
FBtr0345321	493	290.042	16818.5	1625.42
FBtr0070159	387	191.288	3906	572.378
FBtr0070160	499	295.778	561	53.1662
FBtr0070161	4310	4104.35	2655	18.1326
FBtr0110791	4398	4192.35	0.30375	0.00203094
FBtr0339430	4725	4519.35	501.552	3.11085
FBtr0339431	4307	4101.35	260.279	1.7789
FBtr0339432	4391	4185.35	4705.2	31.5127
FBtr0339433	4448	4242.35	268.899	1.77673
FBtr0339434	3741	3535.35	551.765	4.37483
FBtr0110804	516	312.412	0	0
FBtr0070163	881	675.347	0	0
FBtr0070164	634	428.634	0	0
FBtr0310165	645	439.547	0	0
FBtr0070165	602	396.836	1385	97.8313
FBtr0307181	2880	2674.35	25.1274	0.263372
FBtr0345512	3540	3334.35	5.05204	0.0424713
FBtr0070167	2100	1894.35	172.302	2.54959
FBtr0070168	1777	1571.35	999.684	17.8332
FBtr0070169	1896	1690.35	222.55	3.69054
FBtr0307182	1623	1417.35	3098.29	61.2752
FBtr0332589	1656	1450.35	95.1758	1.83947
FBtr0070170	2155	1949.35	2017.09	29.0051
FBtr0070171	667	461.502	1	0.0607387
FBtr0070172	590	385.108	0	0
FBtr0070173	1412	1206.35	1254	29.1383
FBtr0070179	1107	901.347	185	5.75332
FBtr0070180	489	286.187	0	0
FBtr0070181	4766	4560.35	0	0
FBtr0113327	4995	4789.35	49.3711	0.288959
FBtr0331339	4766	4560.35	0	0
FBtr0331340	4325	4119.35	3039.63	20.6838
FBtr0070182	2214	2008.35	5686	79.361
FBtr0070183	2462	2256.35	63.01	0.782785
FBtr0070184	462	260.446	3	0.322881
FBtr0070185	2073	1867.35	1	0.0150112
FBtr0342734	2540	2334.35	0	0
FBtr0070186	839	633.347	7	0.30981
FBtr0070187	2496	2290.35	31.9133	0.39058
FBtr0070188	1515	1309.35	2930.82	62.7442
FBtr0070189	1545	1339.35	4	0.0837155
FBtr0331301	1301	1095.35	2	0.051182
FBtr0070195	987	781.347	0	0
FBtr0310459	500	296.749	0	0
FBtr0336688	1664	1458.35	70.99	1.36451
FBtr0070197	1199	993.347	1014.12	28.6173
FBtr0310611	1698	1492.35	11.9627	0.224698
FBtr0345513	2256	2050.35	34.916	0.47735
FBtr0070198	783	577.347	0	0
FBtr0342727	1387	1181.35	0	0
FBtr0070199	1430	1224.35	0	0
FBtr0310612	1564	1358.35	2	0.0412723
FBtr0070200	1413	1207.35	5	0.116085
FBtr0070201	2704	2498.35	65	0.729289
FBtr0345506	2801	2595.35	0	0
FBtr0070202	2579	2373.35	10	0.118108
FBtr0070203	1603	1397.35	7065	141.725
FBtr0070204	819	613.347	28	1.27965
FBtr0070205	1884	1678.35	59.941	1.00111
FBtr0342728	1744	1538.35	276.059	5.03022
FBtr0070206	1599	1393.35	4.50193	0.0905688
FBtr0342729	980	774.347	14.4981	0.524824
FBtr0070207	6581	6375.35	13656	60.0425
FBtr0070209	2347	2141.35	4683.45	61.3081
FBtr0310619	1989	1783.35	183.551	2.88509
FBtr0070211	1002	796.347	4.33151	0.152467
FBtr0303284	910	704.347	7.66849	0.305184
FBtr0070212	2460	2254.35	4621	57.4585
FBtr0070213	690	484.502	3	0.173566
FBtr0070215	3055	2849.35	2382.11	23.4345
FBtr0339772	3096	2890.35	54.0468	0.524154
FBtr0339773	2945	2739.35	0	0
FBtr0339774	3635	3429.35	348.847	2.85143
FBtr0070216	2708	2502.35	4886.33	54.7362
FBtr0070217	2853	2647.35	430.669	4.56007
FBtr0070218	2739	2533.35	0	0
FBtr0070219	3697	3491.35	45.3814	0.364354
FBtr0070222	3438	3232.35	27.4036	0.237645
